Time_index,Demand-z1,Demand-z2
1,12347.27482,6173.6
2,11552.00072,5776.0
3,11157.70516,5578.9
4,10980.12895,5490.1
5,11023.09093,5511.5
6,11423.11476,5711.6
7,12589.77136,6294.9
8,14666.26736,7333.1
9,15823.37685,7911.7
10,16006.68133,8003.3
11,16128.88431,8064.4
12,16270.18151,8135.1
13,16297.86812,8148.9
14,16241.54019,8120.8
15,16210.03473,8105.0
16,16151.79737,8075.9
17,16377.10912,8188.6
18,17669.78755,8834.9
19,19056.02763,9528.0
20,19090.39722,9545.2
21,18763.88613,9381.9
22,18150.96179,9075.5
23,17075.00272,8537.5
24,15638.16296,7819.1
25,13374.54364,6687.3
26,12497.16442,6248.6
27,11984.48471,5992.2
28,11751.53528,5875.8
29,11683.75081,5841.9
30,11974.93761,5987.5
31,12993.61403,6496.8
32,14859.11894,7429.6
33,15957.99108,7979.0
34,16136.522,8068.3
35,16149.88795,8074.9
36,16137.47671,8068.7
37,16074.4658,8037.2
38,15978.04,7989.0
39,15975.17587,7987.6
40,15916.93851,7958.5
41,16056.32629,8028.2
42,16968.07511,8484.0
43,17803.44706,8901.7
44,17591.50126,8795.8
45,17054.95379,8527.5
46,16242.4949,8121.2
47,15064.38177,7532.2
48,13565.4858,6782.7
49,12872.36576,6436.2
50,12057.99745,6029.0
51,11612.1475,5806.1
52,11398.29228,5699.1
53,11364.8774,5682.4
54,11678.02255,5839.0
55,12748.25336,6374.1
56,14751.23662,7375.6
57,15843.42578,7921.7
58,15953.21752,7976.6
59,15929.34975,7964.7
60,15861.56529,7930.8
61,15667.75899,7833.9
62,15401.39468,7700.7
63,15175.12822,7587.6
64,14931.67696,7465.8
65,14840.02473,7420.0
66,15351.74972,7675.9
67,16783.81592,8391.9
68,16980.48635,8490.2
69,16581.41723,8290.7
70,15901.66314,7950.8
71,14816.15696,7408.1
72,13386.95488,6693.5
73,12501.93797,6251.0
74,11755.35412,5877.7
75,11411.65823,5705.8
76,11299.00236,5649.5
77,11353.42087,5676.7
78,11749.62586,5874.8
79,12925.82957,6462.9
80,15001.37085,7500.7
81,16011.45488,8005.7
82,16126.02018,8063.0
83,16052.50745,8026.3
84,15954.17223,7977.1
85,15766.09421,7883.0
86,15510.23171,7755.1
87,15384.20988,7692.1
88,15262.0069,7631.0
89,15408.07765,7704.0
90,16043.91505,8022.0
91,17289.81265,8644.9
92,17480.75481,8740.4
93,17062.59148,8531.3
94,16379.01854,8189.5
95,15262.0069,7631.0
96,13792.70698,6896.4
97,12536.30756,6268.2
98,11711.43742,5855.7
99,11309.50418,5654.8
100,11116.65259,5558.3
101,11126.1997,5563.1
102,11497.5822,5748.8
103,12666.14823,6333.1
104,14705.4105,7352.7
105,15651.52891,7825.8
106,15660.12131,7830.1
107,15558.92196,7779.5
108,15476.81683,7738.4
109,15296.37649,7648.2
110,15043.37813,7521.7
111,14879.16787,7439.6
112,14650.99199,7325.5
113,14601.34703,7300.7
114,15036.69515,7518.3
115,16386.65623,8193.3
116,16900.29064,8450.1
117,16607.19442,8303.6
118,16050.59803,8025.3
119,15045.28755,7522.6
120,13678.14168,6839.1
121,11862.28173,5931.1
122,11086.10185,5543.1
123,10651.70843,5325.9
124,10440.71734,5220.4
125,10434.98908,5217.5
126,10743.36067,5371.7
127,11684.70552,5842.4
128,13238.97471,6619.5
129,14416.13313,7208.1
130,15139.80392,7569.9
131,15514.05055,7757.0
132,15771.82247,7885.9
133,15843.42578,7921.7
134,15748.90941,7874.5
135,15697.35503,7848.7
136,15580.88031,7790.4
137,15506.41287,7753.2
