Period,Weight,Weight-1,Weight-2,Weight-3,Weight-4,Weight-5,Weight-6,Weight-7,Weight-8,Weight-9,Weight-10
1,432,432,408,360,360,360,360,360,360,360,360
2,312,312,120,168,168,168,168,168,168,168,168
3,336,336,216,216,216,216,216,216,216,216,216
4,408,408,168,288,240,192,312,312,216,336,432
5,312,312,336,216,384,168,240,288,240,168,384
6,216,216,240,96,312,192,312,168,240,288,168
7,264,264,168,192,288,264,264,216,288,216,120
8,168,168,96,96,96,264,240,96,192,216,216
9,168,168,192,240,240,144,144,240,96,168,240
10,192,192,144,120,216,144,192,144,240,96,240
11,24,24,192,216,168,216,264,168,120,264,240
12,360,360,240,192,168,168,120,288,144,216,144
13,408,408,168,168,312,312,216,192,240,264,336
14,24,24,336,408,312,432,360,312,216,144,384
15,408,408,432,504,384,264,312,360,432,168,408
16,312,312,336,384,576,432,408,528,408,336,432
17,336,336,456,336,552,408,528,384,528,288,336
18,576,576,192,432,240,624,720,432,312,408,480
19,456,456,480,504,600,360,600,504,528,552,192
20,408,408,624,576,360,456,360,384,288,696,480
21,312,312,456,408,432,288,288,336,600,432,360
22,240,240,456,264,96,432,336,240,624,576,360
23,288,288,312,264,312,456,192,360,240,456,336
24,312,312,288,336,192,336,264,312,240,264,192
25,264,264,336,264,216,192,168,288,288,216,264
26,336,336,264,360,216,240,264,192,264,216,264
27,216,216,216,192,312,264,144,360,264,264,144
28,192,192,192,192,144,168,120,216,144,336,216
29,24,24,264,504,432,288,192,168,480,264,192
30,456,456,432,264,216,312,456,528,144,168,456
