Time_index,Demand-z1,Demand-z2
1,12531.4142,6265.7
2,11724.27989,5862.1
3,11324.10405,5662.1
4,11143.87959,5571.9
5,11187.48228,5593.7
6,11593.47181,5796.7
7,12777.52718,6388.8
8,14884.99071,7442.5
9,16059.3566,8029.7
10,16245.39476,8122.7
11,16369.4202,8184.7
12,16512.82462,8256.4
13,16540.92413,8270.5
14,16483.75615,8241.9
15,16451.78084,8225.9
16,16392.67497,8196.3
17,16621.34688,8310.7
18,17933.30348,8966.7
19,19340.21707,9670.1
20,19375.09923,9687.5
21,19043.71875,9521.9
22,18421.65366,9210.8
23,17329.64841,8664.8
24,15871.38054,7935.7
25,13574.00305,6787.0
26,12683.53915,6341.8
27,12163.21367,6081.6
28,11926.79018,5963.4
29,11857.99482,5929.0
30,12153.52418,6076.8
31,13187.3925,6593.7
32,15080.71836,7540.4
33,16195.97837,8098.0
34,16377.17179,8188.6
35,16390.73707,8195.4
36,16378.14074,8189.1
37,16314.19012,8157.1
38,16216.3263,8108.2
39,16213.41945,8106.7
40,16154.31358,8077.2
41,16295.7801,8147.9
42,17221.12615,8610.6
43,18068.95631,9034.5
44,17853.84969,8926.9
45,17309.30049,8654.7
46,16484.7251,8242.4
47,15289.04234,7644.5
48,13767.7928,6883.9
49,13064.33601,6532.2
50,12237.82273,6118.9
51,11785.32366,5892.7
52,11568.27914,5784.1
53,11534.36593,5767.2
54,11852.18112,5926.1
55,12938.37267,6469.2
56,14971.22715,7485.6
57,16079.70452,8039.9
58,16191.13363,8095.6
59,16166.90991,8083.5
60,16098.11455,8049.1
61,15901.41795,7950.7
62,15631.08125,7815.5
63,15401.4404,7700.7
64,15154.35847,7577.2
65,15061.33939,7530.7
66,15580.69592,7790.3
67,17034.11904,8517.1
68,17233.72249,8616.9
69,16828.70191,8414.4
70,16138.8104,8069.4
71,15037.11567,7518.6
72,13586.59939,6793.3
73,11944.23125,5972.1
74,11128.37641,5564.2
75,10715.60424,5357.8
76,10527.62818,5263.8
77,10537.31767,5268.7
78,10890.01501,5445.0
79,12025.62295,6012.8
80,14152.46546,7076.2
81,15250.28439,7625.1
82,15459.57732,7729.8
83,15608.79543,7804.4
84,15757.04459,7878.5
85,15778.36146,7889.2
86,15724.10033,7862.1
87,15704.72136,7852.4
88,15650.46023,7825.2
89,15793.86464,7896.9
90,16485.69405,8242.8
91,17507.93498,8754.0
92,17537.97239,8769.0
93,17156.20659,8578.1
