Time_index,Demand-base,Demand-1,Demand-2,,,,,,,,,,,
1,12933,9699.75,16166.25,,18,232794,174595.5,290992.5,10.4,139098363,0.074767235,,RAOPT sys cost,3.665629714
2,12100,9075,15125,,18,217800,163350,272250,104323772.3,,,,,
3,11687,8765.25,14608.75,,18,210366,157774.5,262957.5,173872953.8,278196726,,,,
4,11501,8625.75,14376.25,,18,207018,155263.5,258772.5,,,,,,
5,11546,8659.5,14432.5,,18,207828,155871,259785,,,,,,
6,11965,8973.75,14956.25,,18,215370,161527.5,269212.5,,,,,,
7,13187,9890.25,16483.75,,18,237366,178024.5,296707.5,,,,,,
8,15362,11521.5,19202.5,,18,276516,207387,345645,,,,,,
9,16574,12430.5,20717.5,,18,298332,223749,372915,,,,,,
10,16766,12574.5,20957.5,,18,301788,226341,377235,,,,,,
11,16894,12670.5,21117.5,,18,304092,228069,380115,,,,,,
12,17042,12781.5,21302.5,,18,306756,230067,383445,,,,,,
13,17071,12803.25,21338.75,,18,307278,230458.5,384097.5,,,,,,
14,17012,12759,21265,,18,306216,229662,382770,,,,,,
15,16979,12734.25,21223.75,,18,305622,229216.5,382027.5,,,,,,
16,16918,12688.5,21147.5,,18,304524,228393,380655,,,,,,
17,17154,12865.5,21442.5,,18,308772,231579,385965,,,,,,
18,18508,13881,23135,,18,333144,249858,416430,,,,,,
19,19960,14970,24950,,18,359280,269460,449100,,,,,,
20,19996,14997,24995,,18,359928,269946,449910,,,,,,
21,19654,14740.5,24567.5,,18,353772,265329,442215,,,,,,
22,19012,14259,23765,,18,342216,256662,427770,,,,,,
23,17885,13413.75,22356.25,,18,321930,241447.5,402412.5,,,,,,
24,16380,12285,20475,,18,294840,221130,368550,,,,,,
25,12912,9684,16140,,13,167856,125892,209820,,,,,,
26,12184,9138,15230,,13,158392,118794,197990,,,,,,
27,11833,8874.75,14791.25,,13,153829,115371.75,192286.25,,,,,,
28,11717,8787.75,14646.25,,13,152321,114240.75,190401.25,,,,,,
29,11765,8823.75,14706.25,,13,152945,114708.75,191181.25,,,,,,
30,12194,9145.5,15242.5,,13,158522,118891.5,198152.5,,,,,,
31,13405,10053.75,16756.25,,13,174265,130698.75,217831.25,,,,,,
