Time_Index,Gas,Wind,Solar,Nuclear
1,1,0.763308138,0,1
2,1,0.750113883,0,1
3,1,0.729198684,0,1
4,1,0.694957807,0,1
5,1,0.664635076,0,1
6,1,0.652681994,0,1
7,1,0.654510032,0,1
8,1,0.656831793,0.033664686,1
9,1,0.685611835,0.269130372,1
10,1,0.710704834,0.423271241,1
11,1,0.73184699,0.405947109,1
12,1,0.753444744,0.385453311,1
13,1,0.783215495,0.415553129,1
14,1,0.810086679,0.49704918,1
15,1,0.832747843,0.510486648,1
16,1,0.843621487,0.215279193,1
17,1,0.839757786,0.00886383,1
18,1,0.848142109,0,1
19,1,0.847643654,0,1
20,1,0.840592293,0,1
21,1,0.835683266,0,1
22,1,0.815284137,0,1
23,1,0.792055638,0,1
24,1,0.776937487,0,1
25,1,0.43149767,0,1
26,1,0.393727013,0,1
27,1,0.361296601,0,1
28,1,0.336974562,0,1
29,1,0.318128874,0,1
30,1,0.309727393,0,1
31,1,0.311040381,0,1
32,1,0.314111227,0.029004877,1
33,1,0.280067151,0.201024316,1
34,1,0.223588126,0.296363731,1
35,1,0.193847051,0.315791007,1
36,1,0.190936124,0.335422084,1
37,1,0.195754848,0.371414312,1
38,1,0.212122055,0.427631776,1
39,1,0.241139272,0.443954122,1
40,1,0.36607496,0.211102564,1
41,1,0.537630601,0.013594043,1
42,1,0.621383904,0,1
43,1,0.658604396,0,1
44,1,0.672093817,0,1
45,1,0.684583284,0,1
46,1,0.688792848,0,1
47,1,0.693991557,0,1
48,1,0.697919064,0,1
49,1,0.575304016,0,1
50,1,0.538433387,0,1
51,1,0.505744956,0,1
52,1,0.453400951,0,1
53,1,0.394475254,0,1
54,1,0.355742412,0,1
55,1,0.333905566,1.37E-05,1
56,1,0.311722503,0.040167616,1
57,1,0.189466138,0.183103664,1
58,1,0.142179827,0.319193153,1
59,1,0.117916566,0.345323968,1
60,1,0.117340714,0.330485679,1
61,1,0.136567815,0.326342824,1
62,1,0.147979876,0.310705891,1
63,1,0.167872246,0.272429486,1
64,1,0.207551044,0.161130512,1
65,1,0.292386399,0.026703707,1
66,1,0.372990262,0,1
67,1,0.405543747,0,1
68,1,0.404972617,0,1
