Time_index;Load;Load_alternative_scenario_1;Load_alternative_scenario_2
1;34726.912811;17363.4564055;52090.3692165
2;34205.601468;17102.800734;51308.402202
3;33897.701352;16948.850676;50846.552028
4;33682.317659;16841.1588295;50523.4764885
5;33445.922167;16722.9610835;50168.8832505
6;34314.393409;17157.1967045;51471.5901135
7;36258.833018;18129.416509;54388.249527
8;37862.427407;18931.2137035;56793.6411105
9;39430.367341;19715.1836705;59145.5510115
10;41278.645975;20639.3229875;61917.9689625
11;42548.646982;21274.323491;63822.970473
12;42991.69296;21495.84648;64487.53944
13;43068.697097;21534.3485485;64603.0456455
14;43253.109441;21626.5547205;64879.6641615
15;43941.860625;21970.9303125;65912.7909375
16;44788.626084;22394.313042;67182.939126
17;45264.791635;22632.3958175;67897.1874525
18;44572.592279;22286.2961395;66858.8884185
19;43004.737595;21502.3687975;64507.1063925
20;41523.543918;20761.771959;62285.315877
21;40295.463913;20147.7319565;60443.1958695
22;38941.413277;19470.7066385;58412.1199155
23;37543.334369;18771.6671845;56315.0015535
24;36434.841177;18217.4205885;54652.2617655
25;37496.772007;18748.3860035;56245.1580105
26;36996.465151;18498.2325755;55494.6977265
27;36776.01986;18388.00993;55164.02979
28;36884.765527;18442.3827635;55327.1482905
29;37654.897962;18827.448981;56482.346943
30;39969.859376;19984.929688;59954.789064
31;43066.444295;21533.2221475;64599.6664425
32;44850.709718;22425.354859;67276.064577
33;45916.855866;22958.427933;68875.283799
34;47188.021448;23594.010724;70782.032172
35;48123.635023;24061.8175115;72185.4525345
36;48333.071109;24166.5355545;72499.6066635
37;48241.17077;24120.585385;72361.756155
38;48308.465993;24154.2329965;72462.6989895
39;48673.220763;24336.6103815;73009.8311445
40;49173.793252;24586.896626;73760.689878
41;49230.865059;24615.4325295;73846.2975885
42;48365.63813;24182.819065;72548.457195
43;46679.438876;23339.719438;70019.158314
44;45076.355069;22538.1775345;67614.5326035
45;43665.642186;21832.821093;65498.463279
46;42059.085295;21029.5426475;63088.6279425
47;40363.646222;20181.823111;60545.469333
48;39027.296735;19513.6483675;58540.9451025
49;37342.402632;18671.201316;56013.603948
50;36822.411641;18411.2058205;55233.6174615
51;36587.912254;18293.956127;54881.868381
52;36747.507946;18373.753973;55121.261919
53;37765.549738;18882.774869;56648.324607
54;40543.757179;20271.8785895;60815.6357685
55;44229.844279;22114.9221395;66344.7664185
56;46444.197388;23222.098694;69666.296082
57;47541.167276;23770.583638;71311.750914
58;48731.824631;24365.9123155;73097.7369465
59;49673.845258;24836.922629;74510.767887
60;49861.319322;24930.659661;74791.978983
61;49736.753202;24868.376601;74605.129803
62;49855.492293;24927.7461465;74783.2384395
63;50223.817728;25111.908864;75335.726592
64;50644.64682;25322.32341;75966.97023
65;50689.234447;25344.6172235;76033.8516705
66;49823.61606;24911.80803;74735.42409
67;47957.169367;23978.5846835;71935.7540505
68;46246.402244;23123.201122;69369.603366
69;44667.533412;22333.766706;67001.300118
70;42773.257247;21386.6286235;64159.8858705
71;40741.457937;20370.7289685;61112.1869055
72;39147.108463;19573.5542315;58720.6626945
73;38218.492756;19109.246378;57327.739134
74;37716.780026;18858.390013;56575.170039
75;37507.662278;18753.831139;56261.493417
76;37681.324657;18840.6623285;56521.9869855
77;38690.867436;19345.433718;58036.301154
78;41480.044962;20740.022481;62220.067443
79;45165.682403;22582.8412015;67748.5236045
80;47341.32173;23670.660865;71011.982595
81;48377.177563;24188.5887815;72565.7663445
82;49475.671472;24737.835736;74213.507208
