Time_index;Load;Load_alternative_scenario_1_low;Load_alternative_scenario_2_high;Load_alternative_scenario_2_Very_high
1;70234.33175;59699.18198;80769.48151;91304.63127
2;67558.89874;57425.06393;77692.73355;87826.56837
3;63526.79115;53997.77248;73055.80982;82584.8285
4;59083.04739;50220.59028;67945.5045;76807.9616
5;54377.85796;46221.17926;62534.53665;70691.21535
6;53692.36654;45638.51156;61746.22152;69800.0765
7;55826.41519;47452.45291;64200.37747;72574.33975
8;59619.47714;50676.55557;68562.39871;77505.32028
9;65269.85662;55479.37812;75060.33511;84850.8136
10;71122.73278;60454.32286;81791.1427;92459.55261
11;75065.44379;63805.62722;86325.26036;97585.07693
12;79476.62214;67555.12882;91398.11547;103319.6088
13;81607.62923;69366.48484;93848.77361;106089.918
14;80084.45947;68071.79055;92097.12839;104109.7973
15;76998.43209;65448.66727;88548.1969;100097.9617
16;77599.87909;65959.89723;89239.86096;100879.8428
17;80807.93508;68686.74482;92929.12535;105050.3156
18;83626.35396;71082.40087;96170.30706;108714.2602
19;83743.26642;71181.77646;96304.75638;108866.2463
20;81178.0026;69001.30221;93354.70299;105531.4034
21;77515.00088;65887.75075;89142.25101;100769.5011
22;80288.87959;68245.54765;92332.21153;104375.5435
23;75476.75442;64155.24126;86798.26759;98119.78075
24;70739.93532;60128.94502;81350.92562;91961.91591
25;67785.88618;57618.00325;77953.76911;88121.65204
26;64966.72331;55221.71481;74711.73181;84456.7403
27;61022.26183;51868.92256;70175.60111;79328.94038
28;56746.52955;48234.55012;65258.50898;73770.48842
29;52460.42342;44591.35991;60329.48694;68198.55045
30;53615.54464;45573.21294;61657.87633;69700.20803
31;58959.16335;50115.28885;67803.03785;76646.91235
32;65505.55931;55679.72541;75331.3932;85157.2271
33;71036.17252;60380.74664;81691.5984;92347.02427
34;75444.6362;64127.94077;86761.33163;98078.02706
35;78141.67362;66420.42258;89862.92466;101584.1757
36;81834.30464;69559.15894;94109.45034;106384.596
37;83425.97294;70912.077;95939.86888;108453.7648
