Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;Storage
1;1;1;1;0.325;0.805;0.805;0;1
2;1;1;1;0.285;0.773;0.773;0;1
3;1;1;1;0.277;0.718;0.718;0;1
4;1;1;1;0.297;0.673;0.673;0;1
5;1;1;1;0.328;0.661;0.661;0;1
6;1;1;1;0.371;0.682;0.682;0;1
7;1;1;1;0.410;0.722;0.722;0;1
8;1;1;1;0.437;0.775;0.775;0;1
9;1;1;1;0.432;0.815;0.815;0.002;1
10;1;1;1;0.410;0.830;0.830;0.032;1
11;1;1;1;0.417;0.819;0.819;0.071;1
12;1;1;1;0.471;0.796;0.796;0.112;1
13;1;1;1;0.501;0.775;0.775;0.111;1
14;1;1;1;0.513;0.766;0.766;0.093;1
15;1;1;1;0.539;0.772;0.772;0.052;1
16;1;1;1;0.563;0.785;0.785;0.010;1
17;1;1;1;0.594;0.810;0.810;0;1
18;1;1;1;0.601;0.844;0.844;0;1
19;1;1;1;0.591;0.859;0.859;0;1
20;1;1;1;0.610;0.857;0.857;0;1
21;1;1;1;0.644;0.863;0.863;0;1
22;1;1;1;0.698;0.888;0.888;0;1
23;1;1;1;0.737;0.918;0.918;0;1
24;1;1;1;0.750;0.941;0.941;0;1
25;1;1;1;0.748;0.959;0.959;0;1
26;1;1;1;0.772;0.970;0.970;0;1
27;1;1;1;0.801;0.976;0.976;0;1
28;1;1;1;0.827;0.980;0.980;0;1
29;1;1;1;0.866;0.983;0.983;0;1
30;1;1;1;0.889;0.988;0.988;0;1
31;1;1;1;0.924;0.990;0.990;0;1
32;1;1;1;0.928;0.991;0.991;0;1
33;1;1;1;0.932;0.991;0.991;0.005;1
34;1;1;1;0.926;0.991;0.991;0.038;1
35;1;1;1;0.926;0.991;0.991;0.047;1
36;1;1;1;0.919;0.990;0.990;0.073;1
37;1;1;1;0.921;0.991;0.991;0.092;1
38;1;1;1;0.922;0.991;0.991;0.054;1
39;1;1;1;0.914;0.991;0.991;0.029;1
40;1;1;1;0.910;0.990;0.990;0.009;1
41;1;1;1;0.920;0.990;0.990;0;1
42;1;1;1;0.936;0.991;0.991;0;1
43;1;1;1;0.949;0.991;0.991;0;1
44;1;1;1;0.959;0.991;0.991;0;1
45;1;1;1;0.957;0.991;0.991;0;1
46;1;1;1;0.950;0.988;0.988;0;1
47;1;1;1;0.939;0.984;0.984;0;1
48;1;1;1;0.903;0.978;0.978;0;1
49;1;1;1;0.815;0.968;0.968;0;1
50;1;1;1;0.735;0.966;0.966;0;1
51;1;1;1;0.757;0.934;0.934;0;1
52;1;1;1;0.718;0.859;0.859;0;1
53;1;1;1;0.624;0.928;0.928;0;1
54;1;1;1;0.640;0.951;0.951;0;1
55;1;1;1;0.638;0.936;0.936;0;1
56;1;1;1;0.610;0.937;0.937;0;1
57;1;1;1;0.568;0.923;0.923;0.011;1
58;1;1;1;0.524;0.893;0.893;0.107;1
59;1;1;1;0.523;0.868;0.868;0.279;1
60;1;1;1;0.558;0.862;0.862;0.453;1
61;1;1;1;0.602;0.896;0.896;0.517;1
62;1;1;1;0.666;0.939;0.939;0.459;1
63;1;1;1;0.722;0.958;0.958;0.311;1
64;1;1;1;0.753;0.963;0.963;0.087;1
65;1;1;1;0.769;0.970;0.970;0;1
66;1;1;1;0.785;0.974;0.974;0;1
67;1;1;1;0.802;0.977;0.977;0;1
68;1;1;1;0.809;0.982;0.982;0;1
69;1;1;1;0.814;0.984;0.984;0;1
70;1;1;1;0.827;0.988;0.988;0;1
71;1;1;1;0.829;0.990;0.990;0;1
72;1;1;1;0.826;0.990;0.990;0;1
73;1;1;1;0.831;0.990;0.990;0;1
74;1;1;1;0.857;0.991;0.991;0;1
75;1;1;1;0.863;0.991;0.991;0;1
76;1;1;1;0.856;0.991;0.991;0;1
77;1;1;1;0.850;0.991;0.991;0;1
78;1;1;1;0.858;0.991;0.991;0;1
79;1;1;1;0.850;0.991;0.991;0;1
80;1;1;1;0.842;0.988;0.988;0;1
81;1;1;1;0.827;0.981;0.981;0.003;1
82;1;1;1;0.795;0.968;0.968;0.043;1
83;1;1;1;0.748;0.948;0.948;0.088;1
84;1;1;1;0.686;0.913;0.913;0.137;1
85;1;1;1;0.654;0.867;0.867;0.196;1
86;1;1;1;0.644;0.803;0.803;0.224;1
87;1;1;1;0.606;0.731;0.731;0.179;1
88;1;1;1;0.578;0.636;0.636;0.068;1
89;1;1;1;0.585;0.605;0.605;0;1
90;1;1;1;0.595;0.676;0.676;0;1
91;1;1;1;0.590;0.729;0.729;0;1
92;1;1;1;0.592;0.754;0.754;0;1
93;1;1;1;0.614;0.777;0.777;0;1
94;1;1;1;0.642;0.798;0.798;0;1
95;1;1;1;0.648;0.814;0.814;0;1
96;1;1;1;0.661;0.832;0.832;0;1
97;1;1;1;0.663;0.845;0.845;0;1
98;1;1;1;0.724;0.859;0.859;0;1
99;1;1;1;0.746;0.868;0.868;0;1
100;1;1;1;0.766;0.876;0.876;0;1
101;1;1;1;0.770;0.883;0.883;0;1
102;1;1;1;0.748;0.894;0.894;0;1
103;1;1;1;0.750;0.900;0.900;0;1
104;1;1;1;0.772;0.906;0.906;0;1
105;1;1;1;0.788;0.916;0.916;0.001;1
106;1;1;1;0.790;0.925;0.925;0.024;1
107;1;1;1;0.791;0.932;0.932;0.049;1
108;1;1;1;0.793;0.937;0.937;0.069;1
109;1;1;1;0.806;0.935;0.935;0.066;1
110;1;1;1;0.810;0.932;0.932;0.050;1
111;1;1;1;0.808;0.943;0.943;0.027;1
112;1;1;1;0.794;0.937;0.937;0.004;1
113;1;1;1;0.785;0.933;0.933;0;1
114;1;1;1;0.785;0.926;0.926;0;1
115;1;1;1;0.780;0.924;0.924;0;1
116;1;1;1;0.751;0.917;0.917;0;1
117;1;1;1;0.763;0.917;0.917;0;1
118;1;1;1;0.817;0.908;0.908;0;1
119;1;1;1;0.835;0.910;0.910;0;1
120;1;1;1;0.828;0.911;0.911;0;1
121;1;1;1;0.799;0.898;0.898;0;1
122;1;1;1;0.783;0.902;0.902;0;1
123;1;1;1;0.786;0.911;0.911;0;1
124;1;1;1;0.820;0.929;0.929;0;1
