Time_index;Load;Load_alternative_scenario_1;Load_alternative_scenario_2
1;72661.67448;36330.83724;108992.51172
2;69675.17803;34837.589015;104512.767045
3;67630.20243;33815.101215;101445.303645
4;67478.18675;33739.093375;101217.280125
5;67017.29629;33508.648145;100525.944435
6;64598.71632;32299.35816;96898.07448
7;59069.64687;29534.823435;88604.470305
8;53515.93044;26757.96522;80273.89566
9;51021.53907;25510.769535;76532.308605
10;53115.23467;26557.617335;79672.852005
11;56724.21608;28362.10804;85086.32412
12;59141.55708;29570.77854;88712.33562
13;60812.97567;30406.487835;91219.463505
14;59918.66179;29959.330895;89877.992685
15;57902.46148;28951.23074;86853.69222
16;56235.71855;28117.859275;84353.577825
17;55600.51129;27800.255645;83400.766935
18;57138.04116;28569.02058;85707.06174
19;59422.65626;29711.32813;89133.98439
20;59441.99858;29720.99929;89162.99787
21;60072.01239;30036.006195;90108.018585
22;62026.87397;31013.436985;93040.310955
23;66190.62745;33095.313725;99285.941175
24;71340.25617;35670.128085;107010.384255
25;76274.50416;38137.25208;114411.75624
26;72600.5292;36300.2646;108900.7938
27;72063.62909;36031.814545;108095.443635
28;72030.84598;36015.42299;108046.26897
29;71581.96849;35790.984245;107372.952735
30;69184.04105;34592.020525;103776.061575
31;64139.8904;32069.9452;96209.8356
32;63916.36223;31958.181115;95874.543345
33;66847.03693;33423.518465;100270.555395
34;69035.19539;34517.597695;103552.793085
35;70729.92619;35364.963095;106094.889285
36;72132.93507;36066.467535;108199.402605
37;72776.47298;36388.23649;109164.70947
38;72427.55954;36213.77977;108641.33931
39;71112.26532;35556.13266;106668.39798
40;69537.90599;34768.952995;104306.858985
41;68843.71607;34421.858035;103265.574105
42;70047.49814;35023.74907;105071.24721
43;71659.2003;35829.60015;107488.80045
44;71804.5432;35902.2716;107706.8148
45;72517.60125;36258.800625;108776.401875
46;71931.28124;35965.64062;107896.92186
47;74522.37117;37261.185585;111783.556755
48;78021.13732;39010.56866;117031.70598
49;77084.31952;38542.15976;115626.47928
50;73113.35715;36556.678575;109670.035725
51;72303.14194;36151.57097;108454.71291
52;72270.30319;36135.151595;108405.454785
53;71821.28879;35910.644395;107731.933185
54;69423.12619;34711.563095;104134.689285
55;64387.10836;32193.55418;96580.66254
56;64540.84311;32270.421555;96811.264665
57;67935.32326;33967.66163;101902.98489
58;70400.98855;35200.494275;105601.482825
59;72088.80198;36044.40099;108133.20297
60;73588.79588;36794.39794;110383.19382
61;74453.18194;37226.59097;111679.77291
62;74297.12484;37148.56242;111445.68726
63;72768.17395;36384.086975;109152.260925
64;71048.37545;35524.187725;106572.563175
65;70293.44133;35146.720665;105440.161995
66;71594.56071;35797.280355;107391.841065
67;73445.86742;36722.93371;110168.80113
68;73589.75171;36794.875855;110384.627565
69;74301.86283;37150.931415;111452.794245
70;73386.95816;36693.47908;110080.43724
71;75763.85455;37881.927275;113645.781825
72;79142.10247;39571.051235;118713.153705
73;81024.71512;40512.35756;121537.07268
74;77437.01899;38718.509495;116155.528485
75;76999.26229;38499.631145;115498.893435
76;76968.344;38484.172;115452.516
77;76524.05916;38262.02958;114786.08874
78;74134.02214;37067.01107;111201.03321
79;69044.42792;34522.21396;103566.64188
80;68721.70452;34360.85226;103082.55678
81;71520.08667;35760.043335;107280.130005
82;73582.71382;36791.35691;110374.07073
83;75094.03874;37547.01937;112641.05811
84;76406.34602;38203.17301;114609.51903
85;77152.42221;38576.211105;115728.633315
86;76871.81571;38435.907855;115307.723565
87;75555.26902;37777.63451;113332.90353
88;74033.8268;37016.9134;111050.7402
89;73360.01095;36680.005475;110040.016425
90;74562.81938;37281.40969;111844.22907
91;76240.83996;38120.41998;114361.25994
92;76434.83288;38217.41644;114652.24932
93;77179.90117;38589.950585;115769.851755
94;76849.77581;38424.887905;115274.663715
95;79454.90504;39727.45252;119182.35756
96;82982.23592;41491.11796;124473.35388
97;82344.66741;41172.333705;123517.001115
98;78817.91453;39408.957265;118226.871795
99;78438.10985;39219.054925;117657.164775
100;78408.30978;39204.15489;117612.46467
101;77966.78143;38983.390715;116950.172145
102;75581.49027;37790.745135;113372.235405
103;70398.3918;35199.1959;105597.5877
104;70010.69584;35005.34792;105016.04376
105;72767.56793;36383.783965;109151.351895
106;74806.99455;37403.497275;112210.491825
107;76259.79749;38129.898745;114389.696235
108;77511.13514;38755.56757;116266.70271
109;77986.80616;38993.40308;116980.20924
110;77691.28663;38845.643315;116536.929945
111;76510.91236;38255.45618;114766.36854
112;75028.30225;37514.151125;112542.453375
113;74348.63338;37174.31669;111522.95007
114;75502.7682;37751.3841;113254.1523
115;77179.11737;38589.558685;115768.676055
116;77402.32933;38701.164665;116103.493995
117;78166.59926;39083.29963;117249.89889
118;77972.14506;38986.07253;116958.21759
119;80658.58457;40329.292285;120987.876855
120;84148.76376;42074.38188;126223.14564
121;78621.01278;39310.50639;117931.51917
122;75135.90703;37567.953515;112703.860545
123;73004.88199;36502.440995;109507.322985
124;72982.55418;36491.27709;109473.83127
125;72657.69246;36328.84623;108986.53869
126;70906.61092;35453.30546;106359.91638
127;66860.5804;33430.2902;100290.8706
128;62697.48863;31348.744315;94046.232945
129;62683.36439;31341.682195;94025.046585
130;65696.54238;32848.27119;98544.81357
131;69054.8135;34527.40675;103582.22025
132;70759.87358;35379.93679;106139.81037
133;70714.97898;35357.48949;106072.46847
134;70427.82935;35213.914675;105641.744025
135;68581.24881;34290.624405;102871.873215
136;66832.63859;33416.319295;100248.957885
137;66248.4071;33124.20355;99372.61065
138;68108.82973;34054.414865;102163.244595
139;69664.74489;34832.372445;104497.117335
140;69809.57527;34904.787635;104714.362905
141;70405.82163;35202.910815;105608.732445
142;69124.03091;34562.015455;103686.046365
143;71522.43555;35761.217775;107283.653325
144;74677.69953;37338.849765;112016.549295
145;75137.23546;37568.61773;112705.85319
146;71734.04364;35867.02182;107601.06546
147;69464.29961;34732.149805;104196.449415
148;68786.38943;34393.194715;103179.584145
149;68464.20807;34232.104035;102696.312105
150;66717.73694;33358.86847;100076.60541
151;62673.75918;31336.87959;94010.63877
152;58493.40187;29246.700935;87740.102805
153;56538.64514;28269.32257;84807.96771
154;59171.87529;29585.937645;88757.812935
155;62540.90628;31270.45314;93811.35942
156;64912.25153;32456.125765;97368.377295
157;66930.49737;33465.248685;100395.746055
158;66289.00844;33144.50422;99433.51266
159;64256.77606;32128.38803;96385.16409
160;62579.98108;31289.99054;93869.97162
161;62104.19308;31052.09654;93156.28962
162;64079.94984;32039.97492;96119.92476
163;67574.98413;33787.492065;101362.476195
164;67748.06856;33874.03428;101622.10284
165;68362.81955;34181.409775;102544.229325
166;69152.96715;34576.483575;103729.450725
167;71483.92599;35741.962995;107225.888985
168;75270.79943;37635.399715;112906.199145
169;85508.18542;42754.09271;128262.27813
170;82012.02022;41006.01011;123018.03033
171;82041.99424;41020.99712;123062.99136
172;82011.20518;41005.60259;123016.80777
173;81567.27872;40783.63936;122350.91808
174;79177.86554;39588.93277;118766.79831
175;75499.87362;37749.93681;113249.81043
176;77593.06599;38796.532995;116389.598985
177;81697.65995;40848.829975;122546.489925
178;83412.1242;41706.0621;125118.1863
179;83959.61111;41979.805555;125939.416665
180;84017.08102;42008.54051;126025.62153
181;83953.10968;41976.55484;125929.66452
182;83544.91292;41772.45646;125317.36938
183;83356.16851;41678.084255;125034.252765
184;82017.24213;41008.621065;123025.863195
185;81238.55104;40619.27552;121857.82656
186;81908.51605;40954.258025;122862.774075
187;83016.42834;41508.21417;124524.64251
188;83214.56147;41607.280735;124821.842205
189;83962.27124;41981.13562;125943.40686
190;82754.77939;41377.389695;124132.169085
191;85176.91354;42588.45677;127765.37031
192;87957.10145;43978.550725;131935.652175
193;87004.73464;43502.36732;130507.10196
194;83534.33989;41767.169945;125301.509835
195;83550.31113;41775.155565;125325.466695
196;83520.54976;41760.27488;125280.82464
197;83079.15964;41539.57982;124618.73946
198;80694.07772;40347.03886;121041.11658
199;76817.87806;38408.93903;115226.81709
200;78857.44853;39428.724265;118286.172795
201;82965.21407;41482.607035;124447.821105
202;84652.59973;42326.299865;126978.899595
203;85056.07699;42528.038495;127584.115485
204;84861.71073;42430.855365;127292.566095
205;84786.1433;42393.07165;127179.21495
206;84592.348;42296.174;126888.522
207;84378.89262;42189.44631;126568.33893
208;83063.42481;41531.712405;124595.137215
209;82256.46604;41128.23302;123384.69906
210;82921.85531;41460.927655;124382.782965
211;84028.74263;42014.371315;126043.113945
212;84253.78286;42126.89143;126380.67429
213;84987.1466;42493.5733;127480.7199
214;83714.38757;41857.193785;125571.581355
215;86223.57594;43111.78797;129335.36391
216;89002.33184;44501.16592;133503.49776
217;89427.44274;44713.72137;134141.16411
218;86060.95603;43030.478015;129091.434045
219;86092.68427;43046.342135;129139.026405
220;86063.79546;43031.89773;129095.69319
221;85624.5596;42812.2798;128436.8394
222;83243.17894;41621.58947;124864.76841
223;79039.40085;39519.700425;118559.101275
224;81136.59651;40568.298255;121704.894765
225;85242.25674;42621.12837;127863.38511
226;86726.4465;43363.22325;130089.66975
227;86833.25141;43416.625705;130249.877115
228;86607.29201;43303.646005;129910.938015
229;86517.94149;43258.970745;129776.912235
230;86261.45351;43130.726755;129392.180265
231;86061.94171;43030.970855;129092.912565
232;84944.97691;42472.488455;127417.465365
233;84255.64932;42127.82466;126383.47398
234;84961.25;42480.625;127441.875
235;85816.87084;42908.43542;128725.30626
236;86064.76972;43032.38486;129097.15458
237;86811.80368;43405.90184;130217.70552
238;85568.758;42784.379;128353.137
239;88163.60439;44081.802195;132245.406585
240;91126.39395;45563.196975;136689.590925
241;87835.78384;43917.89192;131753.67576
242;84455.88291;42227.941455;126683.824365
243;84529.20564;42264.60282;126793.80846
244;84499.09343;42249.546715;126748.640145
245;84056.83732;42028.41866;126085.25598
246;81670.26776;40835.13388;122505.40164
247;77806.27161;38903.135805;116709.407415
248;80153.39218;40076.69609;120230.08827
249;84369.82703;42184.913515;126554.740545
250;85810.4817;42905.24085;128715.72255
251;85838.18907;42919.094535;128757.283605
252;85644.83908;42822.41954;128467.25862
253;85566.99827;42783.499135;128350.497405
254;85277.54804;42638.77402;127916.32206
255;85086.58484;42543.29242;127629.87726
256;83981.96655;41990.983275;125972.949825
257;83258.00577;41629.002885;124887.008655
258;83928.35682;41964.17841;125892.53523
259;84755.74753;42377.873765;127133.621295
260;84971.62239;42485.811195;127457.433585
261;85383.37346;42691.68673;128075.06019
262;84059.6262;42029.8131;126089.4393
263;86590.78801;43295.394005;129886.182015
264;89477.31868;44738.65934;134215.97802
265;85029.92929;42514.964645;127544.893935
266;81615.51707;40807.758535;122423.275605
267;81701.23924;40850.61962;122551.85886
268;81670.31281;40835.156405;122505.469215
269;81226.04743;40613.023715;121839.071145
270;78836.0259;39418.01295;118254.03885
271;75404.89972;37702.44986;113107.34958
272;78279.78699;39139.893495;117419.680485
273;82847.60554;41423.80277;124271.40831
274;84156.40006;42078.20003;126234.60009
275;84187.45018;42093.72509;126281.17527
276;84026.48535;42013.242675;126039.728025
277;83960.73955;41980.369775;125941.109325
278;83747.8655;41873.93275;125621.79825
279;83536.39706;41768.19853;125304.59559
280;82359.52235;41179.761175;123539.283525
281;81537.59033;40768.795165;122306.385495
282;82043.69942;41021.84971;123065.54913
283;83100.56142;41550.28071;124650.84213
284;83295.05154;41647.52577;124942.57731
285;83470.86784;41735.43392;125206.30176
286;82160.65887;41080.329435;123240.988305
287;84600.49651;42300.248255;126900.744765
288;87209.03631;43604.518155;130813.554465
289;77438.38541;38719.192705;116157.578115
290;73884.70554;36942.35277;110827.05831
291;71579.9304;35789.9652;107369.8956
292;71556.89976;35778.44988;107335.34964
293;71230.30311;35615.151555;106845.454665
294;69476.22263;34738.111315;104214.333945
295;65429.02416;32714.51208;98143.53624
296;61277.30901;30638.654505;91915.963515
297;61505.19883;30752.599415;92257.798245
298;64568.33089;32284.165445;96852.496335
299;67296.43763;33648.218815;100944.656445
300;69101.86147;34550.930735;103652.792205
301;69599.68205;34799.841025;104399.523075
302;69790.04011;34895.020055;104685.060165
303;67672.346;33836.173;101508.519
304;65929.30307;32964.651535;98893.954605
305;65377.37593;32688.687965;98066.063895
306;67391.77122;33695.88561;101087.65683
307;68777.61598;34388.80799;103166.42397
308;68903.95871;34451.979355;103355.938065
309;69488.09589;34744.047945;104232.143835
310;68057.37631;34028.688155;102086.064465
311;70324.32799;35162.163995;105486.491985
312;73734.74905;36867.374525;110602.123575
313;72801.93533;36400.967665;109202.902995
314;69243.88037;34621.940185;103865.820555
315;66864.05137;33432.025685;100296.077055
316;66395.36001;33197.680005;99593.040015
317;66069.40998;33034.70499;99104.11497
318;64316.46786;32158.23393;96474.70179
319;60269.89463;30134.947315;90404.841945
320;56114.16595;28057.082975;84171.248925
321;54265.9667;27132.98335;81398.95005
322;57426.19293;28713.096465;86139.289395
323;60748.57141;30374.285705;91122.857115
324;63130.94552;31565.47276;94696.41828
325;65168.72938;32584.36469;97753.09407
326;65098.91436;32549.45718;97648.37154
327;62973.94214;31486.97107;94460.91321
328;61151.54166;30575.77083;91727.31249
329;60475.42236;30237.71118;90713.13354
330;62451.91953;31225.959765;93677.879295
331;65887.39269;32943.696345;98831.089035
332;66020.76424;33010.38212;99031.14636
333;66608.94513;33304.472565;99913.417695
334;67003.20481;33501.602405;100504.807215
335;69211.75962;34605.87981;103817.63943
336;72918.7788;36459.3894;109378.1682
337;83516.45578;41758.22789;125274.68367
338;80196.54623;40098.273115;120294.819345
339;80282.24404;40141.12202;120423.36606
340;80251.31561;40125.657805;120376.973415
341;79807.04525;39903.522625;119710.567875
342;77417.01511;38708.507555;116125.522665
343;74818.97168;37409.48584;112228.45752
344;77803.59058;38901.79529;116705.38587
345;82295.42843;41147.714215;123443.142645
346;83897.29284;41948.64642;125845.93926
347;83964.87204;41982.43602;125947.30806
348;83808.83362;41904.41681;125713.25043
349;83747.7567;41873.87835;125621.63505
350;83402.12113;41701.060565;125103.181695
351;83218.62929;41609.314645;124827.943935
352;82072.27634;41036.13817;123108.41451
353;81148.73479;40574.367395;121723.102185
354;81605.9174;40802.9587;122408.8761
355;82837.74906;41418.87453;124256.62359
356;83032.27609;41516.138045;124548.414135
357;83526.01071;41763.005355;125289.016065
358;82097.07936;41048.53968;123145.61904
359;84304.5036;42152.2518;126456.7554
360;86673.05799;43336.528995;130009.586985
361;85487.43446;42743.71723;128231.15169
362;82017.16419;41008.582095;123025.746285
363;82023.73589;41011.867945;123035.603835
364;81992.34349;40996.171745;122988.515235
365;81546.92854;40773.46427;122320.39281
366;79154.93218;39577.46609;118732.39827
367;75461.47069;37730.735345;113192.206035
368;77809.27177;38904.635885;116713.907655
369;82051.72476;41025.86238;123077.58714
370;83657.20584;41828.60292;125485.80876
371;84002.94016;42001.47008;126004.41024
372;83874.85741;41937.428705;125812.286115
373;83821.23645;41910.618225;125731.854675
374;83300.23188;41650.11594;124950.34782
375;83128.60276;41564.30138;124692.90414
376;81950.80606;40975.40303;122926.20909
377;81248.16459;40624.082295;121872.246885
378;81959.60409;40979.802045;122939.406135
379;82788.28039;41394.140195;124182.420585
380;82970.62624;41485.31312;124455.93936
381;83418.39903;41709.199515;125127.598545
382;81946.86085;40973.430425;122920.291275
383;84389.40644;42194.70322;126584.10966
384;87251.36109;43625.680545;130877.041635
385;83783.85123;41891.925615;125675.776845
386;80177.31551;40088.657755;120265.973265
387;80053.71171;40026.855855;120080.567565
388;80020.91968;40010.45984;120031.37952
389;79572.05376;39786.02688;119358.08064
390;77174.15849;38587.079245;115761.237735
391;73311.81051;36655.905255;109967.715765
392;76256.01929;38128.009645;114384.028935
393;81065.50369;40532.751845;121598.255535
394;82767.21853;41383.609265;124150.827795
395;82904.64596;41452.32298;124356.96894
396;82798.32618;41399.16309;124197.48927
397;82757.12938;41378.56469;124135.69407
398;82644.27394;41322.13697;123966.41091
399;82426.29392;41213.14696;123639.44088
400;81150.90956;40575.45478;121726.36434
401;80286.74759;40143.373795;120430.121385
402;80834.23401;40417.117005;121251.351015
403;81764.9975;40882.49875;122647.49625
404;81910.7464;40955.3732;122866.1196
405;82384.75704;41192.37852;123577.13556
406;80939.33753;40469.668765;121409.006295
407;83384.24501;41692.122505;125076.367515
408;86091.59436;43045.79718;129137.39154
409;86183.20914;43091.60457;129274.81371
410;82897.91232;41448.95616;124346.86848
411;82989.86533;41494.932665;124484.797995
412;82959.45056;41479.72528;124439.17584
413;82516.44772;41258.22386;123774.67158
414;80128.5952;40064.2976;120192.8928
415;76317.24892;38158.62446;114475.87338
416;78555.86074;39277.93037;117833.79111
417;82677.92572;41338.96286;124016.88858
418;84182.00091;42091.000455;126273.001365
419;84277.33474;42138.66737;126416.00211
420;84090.39205;42045.196025;126135.588075
421;84019.9489;42009.97445;126029.92335
422;83801.65599;41900.827995;125702.483985
423;83612.53765;41806.268825;125418.806475
424;82534.41954;41267.20977;123801.62931
425;81728.43941;40864.219705;122592.659115
426;82302.74712;41151.37356;123454.12068
427;83215.02142;41607.51071;124822.53213
428;83422.95076;41711.47538;125134.42614
429;84177.09708;42088.54854;126265.64562
430;83001.05622;41500.52811;124501.58433
431;85559.86753;42779.933765;128339.801295
432;88405.32526;44202.66263;132607.98789
433;87473.51269;43736.756345;131210.269035
434;84385.58926;42192.79463;126578.38389
435;84497.27241;42248.636205;126745.908615
436;84468.47708;42234.23854;126702.71562
437;84029.47205;42014.736025;126044.208075
438;81648.48808;40824.24404;122472.73212
439;78254.90398;39127.45199;117382.35597
440;80690.62195;40345.310975;121035.932925
441;84825.57897;42412.789485;127238.368455
442;85974.4729;42987.23645;128961.70935
443;85901.15109;42950.575545;128851.726635
444;85663.02945;42831.514725;128494.544175
