Time_index,Load,Load_alternative_scenario_1,Load_alternative_scenario_2,Load_alternative_scenario_3,Load_alternative_scenario_4,Load_alternative_scenario_5,Load_alternative_scenario_6,Load_alternative_scenario_7,Load_alternative_scenario_8,Load_alternative_scenario_9,Load_alternative_scenario_10,Load_alternative_scenario_11,Load_alternative_scenario_12,Load_alternative_scenario_13,Load_alternative_scenario_14,Load_alternative_scenario_15,Load_alternative_scenario_16,Load_alternative_scenario_17,Load_alternative_scenario_18,Load_alternative_scenario_19,Load_alternative_scenario_20,Load_alternative_scenario_21,Load_alternative_scenario_22,Load_alternative_scenario_23,Load_alternative_scenario_24,Load_alternative_scenario_25,Load_alternative_scenario_26,Load_alternative_scenario_27,Load_alternative_scenario_28,Load_alternative_scenario_29,Load_alternative_scenario_30,Load_alternative_scenario_31,Load_alternative_scenario_32,Load_alternative_scenario_33,Load_alternative_scenario_34,Load_alternative_scenario_35,Load_alternative_scenario_36,Load_alternative_scenario_37,Load_alternative_scenario_38,Load_alternative_scenario_39,Load_alternative_scenario_40,Load_alternative_scenario_41,Load_alternative_scenario_42,Load_alternative_scenario_43,Load_alternative_scenario_44,Load_alternative_scenario_45,Load_alternative_scenario_46,Load_alternative_scenario_47,Load_alternative_scenario_48,Load_alternative_scenario_49,Load_alternative_scenario_50,Load_alternative_scenario_51,Load_alternative_scenario_52,Load_alternative_scenario_53,Load_alternative_scenario_54,Load_alternative_scenario_55,Load_alternative_scenario_56,Load_alternative_scenario_57,Load_alternative_scenario_58,Load_alternative_scenario_59,Load_alternative_scenario_60,Load_alternative_scenario_61,Load_alternative_scenario_62,Load_alternative_scenario_63,Load_alternative_scenario_64,Load_alternative_scenario_65,Load_alternative_scenario_66,Load_alternative_scenario_67,Load_alternative_scenario_68,Load_alternative_scenario_69,Load_alternative_scenario_70,Load_alternative_scenario_71,Load_alternative_scenario_72,Load_alternative_scenario_73,Load_alternative_scenario_74,Load_alternative_scenario_75,Load_alternative_scenario_76,Load_alternative_scenario_77,Load_alternative_scenario_78,Load_alternative_scenario_79,Load_alternative_scenario_80,Load_alternative_scenario_81,Load_alternative_scenario_82,Load_alternative_scenario_83,Load_alternative_scenario_84,Load_alternative_scenario_85,Load_alternative_scenario_86,Load_alternative_scenario_87,Load_alternative_scenario_88,Load_alternative_scenario_89,Load_alternative_scenario_90,Load_alternative_scenario_91,Load_alternative_scenario_92,Load_alternative_scenario_93,Load_alternative_scenario_94,Load_alternative_scenario_95,Load_alternative_scenario_96,Load_alternative_scenario_97,Load_alternative_scenario_98,Load_alternative_scenario_99,Load_alternative_scenario_100,Load_alternative_scenario_101
1,12962,6481,6610.62,6740.24,6869.86,6999.48,7129.1,7258.72,7388.34,7517.96,7647.58,7777.2,7906.82,8036.44,8166.06,8295.68,8425.3,8554.92,8684.54,8814.16,8943.78,9073.4,9203.02,9332.64,9462.26,9591.88,9721.5,9851.12,9980.74,10110.36,10239.98,10369.6,10499.22,10628.84,10758.46,10888.08,11017.7,11147.32,11276.94,11406.56,11536.18,11665.8,11795.42,11925.04,12054.66,12184.28,12313.9,12443.52,12573.14,12702.76,12832.38,12962,13091.62,13221.24,13350.86,13480.48,13610.1,13739.72,13869.34,13998.96,14128.58,14258.2,14387.82,14517.44,14647.06,14776.68,14906.3,15035.92,15165.54,15295.16,15424.78,15554.4,15684.02,15813.64,15943.26,16072.88,16202.5,16332.12,16461.74,16591.36,16720.98,16850.6,16980.22,17109.84,17239.46,17369.08,17498.7,17628.32,17757.94,17887.56,18017.18,18146.8,18276.42,18406.04,18535.66,18665.28,18794.9,18924.52,622176,19183.76,19313.38,19443
2,12214,6107,6229.14,6351.28,6473.42,6595.56,6717.7,6839.84,6961.98,7084.12,7206.26,7328.4,7450.54,7572.68,7694.82,7816.96,7939.1,8061.24,8183.38,8305.52,8427.66,8549.8,8671.94,8794.08,8916.22,9038.36,9160.5,9282.64,9404.78,9526.92,9649.06,9771.2,9893.34,10015.48,10137.62,10259.76,10381.9,10504.04,10626.18,10748.32,10870.46,10992.6,11114.74,11236.88,11359.02,11481.16,11603.3,11725.44,11847.58,11969.72,12091.86,12214,12336.14,12458.28,12580.42,12702.56,12824.7,12946.84,13068.98,13191.12,13313.26,13435.4,13557.54,13679.68,13801.82,13923.96,14046.1,14168.24,14290.38,14412.52,14534.66,14656.8,14778.94,14901.08,15023.22,15145.36,15267.5,15389.64,15511.78,15633.92,15756.06,15878.2,16000.34,16122.48,16244.62,16366.76,16488.9,16611.04,16733.18,16855.32,16977.46,17099.6,17221.74,17343.88,17466.02,17588.16,17710.3,17832.44,586272,18076.72,18198.86,18321
3,11564,5782,5897.64,6013.28,6128.92,6244.56,6360.2,6475.84,6591.48,6707.12,6822.76,6938.4,7054.04,7169.68,7285.32,7400.96,7516.6,7632.24,7747.88,7863.52,7979.16,8094.8,8210.44,8326.08,8441.72,8557.36,8673,8788.64,8904.28,9019.92,9135.56,9251.2,9366.84,9482.48,9598.12,9713.76,9829.4,9945.04,10060.68,10176.32,10291.96,10407.6,10523.24,10638.88,10754.52,10870.16,10985.8,11101.44,11217.08,11332.72,11448.36,11564,11679.64,11795.28,11910.92,12026.56,12142.2,12257.84,12373.48,12489.12,12604.76,12720.4,12836.04,12951.68,13067.32,13182.96,13298.6,13414.24,13529.88,13645.52,13761.16,13876.8,13992.44,14108.08,14223.72,14339.36,14455,14570.64,14686.28,14801.92,14917.56,15033.2,15148.84,15264.48,15380.12,15495.76,15611.4,15727.04,15842.68,15958.32,16073.96,16189.6,16305.24,16420.88,16536.52,16652.16,16767.8,16883.44,555072,17114.72,17230.36,17346
4,11069,5534.5,5645.19,5755.88,5866.57,5977.26,6087.95,6198.64,6309.33,6420.02,6530.71,6641.4,6752.09,6862.78,6973.47,7084.16,7194.85,7305.54,7416.23,7526.92,7637.61,7748.3,7858.99,7969.68,8080.37,8191.06,8301.75,8412.44,8523.13,8633.82,8744.51,8855.2,8965.89,9076.58,9187.27,9297.96,9408.65,9519.34,9630.03,9740.72,9851.41,9962.1,10072.79,10183.48,10294.17,10404.86,10515.55,10626.24,10736.93,10847.62,10958.31,11069,11179.69,11290.38,11401.07,11511.76,11622.45,11733.14,11843.83,11954.52,12065.21,12175.9,12286.59,12397.28,12507.97,12618.66,12729.35,12840.04,12950.73,13061.42,13172.11,13282.8,13393.49,13504.18,13614.87,13725.56,13836.25,13946.94,14057.63,14168.32,14279.01,14389.7,14500.39,14611.08,14721.77,14832.46,14943.15,15053.84,15164.53,15275.22,15385.91,15496.6,15607.29,15717.98,15828.67,15939.36,16050.05,16160.74,531312,16382.12,16492.81,16603.5
5,10820,5410,5518.2,5626.4,5734.6,5842.8,5951,6059.2,6167.4,6275.6,6383.8,6492,6600.2,6708.4,6816.6,6924.8,7033,7141.2,7249.4,7357.6,7465.8,7574,7682.2,7790.4,7898.6,8006.8,8115,8223.2,8331.4,8439.6,8547.8,8656,8764.2,8872.4,8980.6,9088.8,9197,9305.2,9413.4,9521.6,9629.8,9738,9846.2,9954.4,10062.6,10170.8,10279,10387.2,10495.4,10603.6,10711.8,10820,10928.2,11036.4,11144.6,11252.8,11361,11469.2,11577.4,11685.6,11793.8,11902,12010.2,12118.4,12226.6,12334.8,12443,12551.2,12659.4,12767.6,12875.8,12984,13092.2,13200.4,13308.6,13416.8,13525,13633.2,13741.4,13849.6,13957.8,14066,14174.2,14282.4,14390.6,14498.8,14607,14715.2,14823.4,14931.6,15039.8,15148,15256.2,15364.4,15472.6,15580.8,15689,15797.2,519360,16013.6,16121.8,16230
6,10784,5392,5499.84,5607.68,5715.52,5823.36,5931.2,6039.04,6146.88,6254.72,6362.56,6470.4,6578.24,6686.08,6793.92,6901.76,7009.6,7117.44,7225.28,7333.12,7440.96,7548.8,7656.64,7764.48,7872.32,7980.16,8088,8195.84,8303.68,8411.52,8519.36,8627.2,8735.04,8842.88,8950.72,9058.56,9166.4,9274.24,9382.08,9489.92,9597.76,9705.6,9813.44,9921.28,10029.12,10136.96,10244.8,10352.64,10460.48,10568.32,10676.16,10784,10891.84,10999.68,11107.52,11215.36,11323.2,11431.04,11538.88,11646.72,11754.56,11862.4,11970.24,12078.08,12185.92,12293.76,12401.6,12509.44,12617.28,12725.12,12832.96,12940.8,13048.64,13156.48,13264.32,13372.16,13480,13587.84,13695.68,13803.52,13911.36,14019.2,14127.04,14234.88,14342.72,14450.56,14558.4,14666.24,14774.08,14881.92,14989.76,15097.6,15205.44,15313.28,15421.12,15528.96,15636.8,15744.64,517632,15960.32,16068.16,16176
7,10984,5492,5601.84,5711.68,5821.52,5931.36,6041.2,6151.04,6260.88,6370.72,6480.56,6590.4,6700.24,6810.08,6919.92,7029.76,7139.6,7249.44,7359.28,7469.12,7578.96,7688.8,7798.64,7908.48,8018.32,8128.16,8238,8347.84,8457.68,8567.52,8677.36,8787.2,8897.04,9006.88,9116.72,9226.56,9336.4,9446.24,9556.08,9665.92,9775.76,9885.6,9995.44,10105.28,10215.12,10324.96,10434.8,10544.64,10654.48,10764.32,10874.16,10984,11093.84,11203.68,11313.52,11423.36,11533.2,11643.04,11752.88,11862.72,11972.56,12082.4,12192.24,12302.08,12411.92,12521.76,12631.6,12741.44,12851.28,12961.12,13070.96,13180.8,13290.64,13400.48,13510.32,13620.16,13730,13839.84,13949.68,14059.52,14169.36,14279.2,14389.04,14498.88,14608.72,14718.56,14828.4,14938.24,15048.08,15157.92,15267.76,15377.6,15487.44,15597.28,15707.12,15816.96,15926.8,16036.64,527232,16256.32,16366.16,16476
8,11389,5694.5,5808.39,5922.28,6036.17,6150.06,6263.95,6377.84,6491.73,6605.62,6719.51,6833.4,6947.29,7061.18,7175.07,7288.96,7402.85,7516.74,7630.63,7744.52,7858.41,7972.3,8086.19,8200.08,8313.97,8427.86,8541.75,8655.64,8769.53,8883.42,8997.31,9111.2,9225.09,9338.98,9452.87,9566.76,9680.65,9794.54,9908.43,10022.32,10136.21,10250.1,10363.99,10477.88,10591.77,10705.66,10819.55,10933.44,11047.33,11161.22,11275.11,11389,11502.89,11616.78,11730.67,11844.56,11958.45,12072.34,12186.23,12300.12,12414.01,12527.9,12641.79,12755.68,12869.57,12983.46,13097.35,13211.24,13325.13,13439.02,13552.91,13666.8,13780.69,13894.58,14008.47,14122.36,14236.25,14350.14,14464.03,14577.92,14691.81,14805.7,14919.59,15033.48,15147.37,15261.26,15375.15,15489.04,15602.93,15716.82,15830.71,15944.6,16058.49,16172.38,16286.27,16400.16,16514.05,16627.94,546672,16855.72,16969.61,17083.5
9,11738,5869,5986.38,6103.76,6221.14,6338.52,6455.9,6573.28,6690.66,6808.04,6925.42,7042.8,7160.18,7277.56,7394.94,7512.32,7629.7,7747.08,7864.46,7981.84,8099.22,8216.6,8333.98,8451.36,8568.74,8686.12,8803.5,8920.88,9038.26,9155.64,9273.02,9390.4,9507.78,9625.16,9742.54,9859.92,9977.3,10094.68,10212.06,10329.44,10446.82,10564.2,10681.58,10798.96,10916.34,11033.72,11151.1,11268.48,11385.86,11503.24,11620.62,11738,11855.38,11972.76,12090.14,12207.52,12324.9,12442.28,12559.66,12677.04,12794.42,12911.8,13029.18,13146.56,13263.94,13381.32,13498.7,13616.08,13733.46,13850.84,13968.22,14085.6,14202.98,14320.36,14437.74,14555.12,14672.5,14789.88,14907.26,15024.64,15142.02,15259.4,15376.78,15494.16,15611.54,15728.92,15846.3,15963.68,16081.06,16198.44,16315.82,16433.2,16550.58,16667.96,16785.34,16902.72,17020.1,17137.48,563424,17372.24,17489.62,17607
10,12362,6181,6304.62,6428.24,6551.86,6675.48,6799.1,6922.72,7046.34,7169.96,7293.58,7417.2,7540.82,7664.44,7788.06,7911.68,8035.3,8158.92,8282.54,8406.16,8529.78,8653.4,8777.02,8900.64,9024.26,9147.88,9271.5,9395.12,9518.74,9642.36,9765.98,9889.6,10013.22,10136.84,10260.46,10384.08,10507.7,10631.32,10754.94,10878.56,11002.18,11125.8,11249.42,11373.04,11496.66,11620.28,11743.9,11867.52,11991.14,12114.76,12238.38,12362,12485.62,12609.24,12732.86,12856.48,12980.1,13103.72,13227.34,13350.96,13474.58,13598.2,13721.82,13845.44,13969.06,14092.68,14216.3,14339.92,14463.54,14587.16,14710.78,14834.4,14958.02,15081.64,15205.26,15328.88,15452.5,15576.12,15699.74,15823.36,15946.98,16070.6,16194.22,16317.84,16441.46,16565.08,16688.7,16812.32,16935.94,17059.56,17183.18,17306.8,17430.42,17554.04,17677.66,17801.28,17924.9,18048.52,593376,18295.76,18419.38,18543
