Time_index;Load;Load_alternative_scenario_1_low;Load_alternative_scenario_2_high;Load_alternative_scenario_2_Very_high
1;110995.7371;94346.37657;127645.0977;144294.4583
2;106430.1711;90465.6454;122394.6967;138359.2224
3;103089.0767;87625.71519;118552.4382;134015.7997
4;100976.2838;85829.84121;116122.7263;131269.1689
5;99755.30686;84792.01083;114718.6029;129681.8989
6;99553.88973;84620.80627;114486.9732;129420.0566
7;99607.75254;84666.58966;114548.9154;129490.0783
8;99959.45496;84965.53672;114953.3732;129947.2914
9;103824.1465;88250.52454;119397.7685;134971.3905
10;108745.176;92433.39961;125056.9524;141368.7288
11;113414.6399;96402.44391;130426.8359;147439.0319
12;116096.3025;98681.85714;133510.7479;150925.1933
13;117953.7292;100260.6698;135646.7886;153339.8479
14;116964.6899;99419.98644;134509.3934;152054.0969
15;114620.865;97427.73527;131813.9948;149007.1245
16;113512.4733;96485.6023;130539.3443;147566.2153
17;115050.544;97792.9624;132308.1256;149565.7072
18;117552.2354;99919.40012;135185.0708;152817.9061
19;122475.5056;104104.1797;140846.8314;159218.1572
20;123731.2961;105171.6017;142290.9905;160850.6849
21;120813.6567;102691.6082;138935.7052;157057.7537
22;116392.3795;98933.52255;133851.2364;151310.0933
23;114112.3881;96995.52987;131229.2463;148346.1045
24;112638.1949;95742.46568;129533.9241;146429.6534
25;117488.9232;99865.58471;135112.2617;152735.6001
26;112313.0715;95466.11074;129160.0322;146006.9929
27;108944.9734;92603.22736;125286.7194;141628.4654
28;107307.2166;91211.13408;123403.299;139499.3815
29;107646.4703;91499.49972;123793.4408;139940.4113
30;110248.6871;93711.38406;126785.9902;143323.2933
31;114591.8585;97403.07969;131780.6372;148969.416
32;122184.7108;103857.0042;140512.4174;158840.1241
33;129953.0801;110460.1181;149446.0421;168939.0041
34;134143.5472;114022.0151;154265.0793;174386.6114
35;136451.6074;115983.8663;156919.3485;177387.0896
36;138094.5105;117380.3339;158808.6871;179522.8637
37;139595.3088;118656.0125;160534.6052;181473.9015
38;138597.821;117808.1478;159387.4941;180177.1673
39;137007.5556;116456.4222;157558.6889;178109.8222
40;135893.7349;115509.6746;156277.7951;176661.8553
41;136844.8084;116318.0872;157371.5297;177898.2509
42;138084.2904;117371.6469;158796.934;179509.5776
43;141721.8841;120463.6015;162980.1667;184238.4493
44;141742.1819;120480.8546;163003.5092;184264.8365
45;138307.1018;117561.0365;159053.167;179799.2323
46;132707.1208;112801.0527;152613.1889;172519.257
47;128649.047;109351.69;147946.4041;167243.7611
48;124654.0573;105955.9487;143352.1659;162050.2745
49;118718.4725;100910.7016;136526.2433;154334.0142
50;113472.1209;96451.30281;130492.9391;147513.7572
51;110050.1557;93542.63236;126557.6791;143065.2024
52;108367.158;92112.08429;124622.2317;140877.3054
53;108659.0421;92360.18575;124957.8984;141256.7547
54;111335.3458;94635.04392;128035.6477;144735.9495
55;115880.8334;98498.70836;133262.9584;150645.0834
56;123582.4053;105045.0445;142119.7661;160657.1269
57;131396.2754;111686.834;151105.7167;170815.158
58;135570.0002;115234.5001;155905.5002;176241.0002
59;137926.4204;117237.4573;158615.3834;179304.3465
60;139584.9806;118647.2335;160522.7277;181460.4747
61;141161.2319;119987.0471;162335.4166;183509.6014
62;140208.4454;119177.1786;161239.7122;182270.9791
63;138616.6577;117824.159;159409.1563;180201.655
64;137486.9366;116863.8961;158109.9771;178733.0176
65;138519.6646;117741.7149;159297.6143;180075.564
66;139815.9689;118843.5735;160788.3642;181760.7595
67;143536.9894;122006.441;165067.5378;186598.0863
68;143520.7016;121992.5963;165048.8068;186576.912
69;139906.8433;118920.8168;160892.8698;181878.8962
70;134180.945;114053.8032;154308.0867;174435.2285
71;130053.0002;110545.0502;149560.9502;169068.9003
72;126019.2703;107116.3797;144922.1608;163825.0513
73;121198.1076;103018.3915;139377.8238;157557.5399
74;116031.1552;98626.4819;133435.8285;150840.5017
75;112647.2192;95750.1363;129544.3021;146441.3849
76;110942.054;94300.7459;127583.3621;144224.6702
77;111144.4794;94472.80751;127816.1513;144487.8233
78;113524.8274;96496.10327;130553.5515;147582.2756
79;117547.2515;99915.16378;135179.3392;152811.427
80;125015.7925;106263.4236;143768.1614;162520.5303
81;132826.5076;112902.5315;152750.4838;172674.4599
82;137095.6908;116531.3372;157660.0444;178224.398
83;139419.1902;118506.3117;160332.0688;181244.9473
84;141078.0419;119916.3356;162239.7482;183401.4545
85;142654.6314;121256.4367;164052.8262;185451.0209
86;141693.4958;120439.4715;162947.5202;184201.5446
87;140126.0882;119107.175;161145.0014;182163.9146
88;139021.8194;118168.5465;159875.0923;180728.3652
89;140085.679;119072.8271;161098.5308;182111.3826
90;141261.6505;120072.4029;162450.898;183640.1456
91;144843.0156;123116.5632;166569.4679;188295.9202
92;144815.7831;123093.4156;166538.1506;188260.518
93;141406.4009;120195.4408;162617.361;183828.3212
94;135843.9189;115467.3311;156220.5068;176597.0946
95;131921.4534;112133.2354;151709.6714;171497.8894
96;128122.7574;108904.3438;147341.171;166559.5846
97;117883.8356;100201.2602;135566.4109;153248.9863
98;112450.4104;95582.84884;129317.972;146185.5335
99;108905.6565;92569.80803;125241.505;141577.3535
100;107168.6844;91093.38172;123243.987;139319.2897
101;107484.4358;91361.77041;123607.1011;139729.7665
102;110071.3929;93560.68396;126582.1018;143092.8108
103;114320.9422;97172.80091;131469.0836;148617.2249
104;121970.3208;103674.7727;140265.869;158561.4171
105;130020.3314;110517.2817;149523.3811;169026.4308
106;134520.8407;114342.7146;154698.9668;174877.0929
107;137050.0612;116492.552;157607.5704;178165.0796
108;138874.2963;118043.1519;159705.4408;180536.5853
109;140475.7672;119404.4022;161547.1323;182618.4974
110;139405.9289;118495.0396;160316.8183;181227.7076
111;137676.8982;117025.3635;158328.4329;178979.9677
112;136451.5239;115983.7953;156919.2525;177386.9811
113;137370.939;116765.2982;157976.5799;178582.2207
114;138681.8515;117879.5738;159484.1293;180286.407
115;142519.5017;121141.5764;163897.4269;185275.3521
116;142556.9241;121173.3855;163940.4627;185324.0013
117;138959.4984;118115.5736;159803.4231;180647.3479
118;133133.3235;113163.325;153103.3221;173073.3206
119;128984.4739;109636.8028;148332.145;167679.8161
120;124945.9342;106204.044;143687.8243;162429.7144
121;128739.7356;109428.7753;148050.696;167361.6563
122;123711.2415;105154.5553;142267.9277;160824.614
123;120179.9307;102152.9411;138206.9203;156233.91
124;117999.153;100299.2801;135699.026;153398.899
125;116847.4599;99320.3409;134374.5789;151901.6978
126;117069.9064;99509.4204;134630.3923;152190.8783
127;117712.7159;100055.8085;135369.6233;153026.5307
128;118689.867;100886.3869;136493.347;154296.8271
129;123323.8465;104825.2695;141822.4234;160321.0004
130;128679.8869;109377.9039;147981.8699;167283.853
131;133473.6632;113452.6137;153494.7126;173515.7621
132;135877.7944;115496.1253;156259.4636;176641.1327
133;137067.7514;116507.5887;157627.9141;178188.0768
134;135477.0481;115155.4909;155798.6053;176120.1625
135;132752.3926;112839.5337;152665.2515;172578.1104
136;131333.6961;111633.6417;151033.7505;170733.8049
137;132606.5335;112715.5535;152497.5136;172388.4936
138;134959.6615;114715.7122;155203.6107;175447.5599
139;138939.9996;118098.9997;159780.9996;180621.9995
140;138711.1086;117904.4423;159517.7749;180324.4412
141;134645.7087;114448.8524;154842.565;175039.4213
