Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;NS_Fixed_Wind;NS_Floating_Wind;Storage
1;1;1;1;0.718698095;0.819330439;0.819330439;0;0.71141357;0.71141357;1
2;1;1;1;0.7510226;0.841750007;0.841750007;0;0.715167765;0.715167765;1
3;1;1;1;0.77924521;0.880913862;0.880913862;0;0.727426791;0.727426791;1
4;1;1;1;0.79300931;0.929413595;0.929413595;0;0.738025624;0.738025624;1
5;1;1;1;0.809688322;0.936641894;0.936641894;0;0.752457351;0.752457351;1
6;1;1;1;0.821869414;0.936782101;0.936782101;0;0.780865497;0.780865497;1
7;1;1;1;0.835095476;0.937125563;0.937125563;0;0.786875535;0.786875535;1
8;1;1;1;0.839489504;0.937351543;0.937351543;0;0.785583682;0.785583682;1
9;1;1;1;0.832461337;0.937313842;0.937313842;0.006150668;0.788670019;0.788670019;1
10;1;1;1;0.82157416;0.937172153;0.937172153;0.124675254;0.788115603;0.788115603;1
11;1;1;1;0.656177781;0.936377446;0.936377446;0.265733963;0.741622435;0.741622435;1
12;1;1;1;0.652899564;0.930902284;0.930902284;0.360437279;0.742107873;0.742107873;1
13;1;1;1;0.672660778;0.923616878;0.923616878;0.403262777;0.758435101;0.758435101;1
14;1;1;1;0.647470964;0.909816441;0.909816441;0.351991592;0.78064667;0.78064667;1
15;1;1;1;0.566644132;0.871253149;0.871253149;0.268228964;0.785504948;0.785504948;1
16;1;1;1;0.486556903;0.805014462;0.805014462;0.104001301;0.779695882;0.779695882;1
17;1;1;1;0.434920774;0.730645509;0.730645509;0.001767404;0.768389629;0.768389629;1
18;1;1;1;0.41573923;0.690622549;0.690622549;0;0.75196379;0.75196379;1
19;1;1;1;0.408333066;0.687181925;0.687181925;0;0.738474602;0.738474602;1
20;1;1;1;0.417053968;0.679354088;0.679354088;0;0.727138606;0.727138606;1
21;1;1;1;0.43376297;0.63710443;0.63710443;0;0.720294115;0.720294115;1
22;1;1;1;0.44818053;0.60387116;0.60387116;0;0.702471415;0.702471415;1
23;1;1;1;0.437377592;0.658026577;0.658026577;0;0.715079767;0.715079767;1
24;1;1;1;0.450865076;0.628103801;0.628103801;0;0.692117695;0.692117695;1
25;1;1;1;0.460539955;0.579846012;0.579846012;0;0.675473731;0.675473731;1
26;1;1;1;0.465419828;0.529844566;0.529844566;0;0.657492678;0.657492678;1
27;1;1;1;0.469972194;0.552681382;0.552681382;0;0.644302985;0.644302985;1
28;1;1;1;0.482472589;0.595439665;0.595439665;0;0.627668703;0.627668703;1
29;1;1;1;0.493068246;0.629969417;0.629969417;0;0.597818682;0.597818682;1
30;1;1;1;0.491329715;0.639958085;0.639958085;0;0.560012029;0.560012029;1
31;1;1;1;0.483564672;0.649262282;0.649262282;0;0.543496609;0.543496609;1
32;1;1;1;0.469498691;0.641620452;0.641620452;0;0.544308388;0.544308388;1
