Time_index,Load,Load_alternative_scenario_1,Load_alternative_scenario_2
1,13025,6512.5,19537.5
2,11831,5915.5,17746.5
3,11127,5563.5,16690.5
4,10717,5358.5,16075.5
5,10543,5271.5,15814.5
6,10687,5343.5,16030.5
7,11290,5645,16935
8,12995,6497.5,19492.5
9,14516,7258,21774
10,15276,7638,22914
11,15773,7886.5,23659.5
12,16184,8092,24276
13,16383,8191.5,24574.5
14,16423,8211.5,24634.5
15,16511,8255.5,24766.5
16,16451,8225.5,24676.5
17,16284,8142,24426
18,16053,8026.5,24079.5
19,15617,7808.5,23425.5
20,15102,7551,22653
21,14867,7433.5,22300.5
22,15071,7535.5,22606.5
23,14579,7289.5,21868.5
24,13371,6685.5,20056.5
25,12064,6032,18096
26,11030,5515,16545
27,10416,5208,15624
28,10067,5033.5,15100.5
29,9913,4956.5,14869.5
30,9948,4974,14922
31,10171,5085.5,15256.5
32,10694,5347,16041
33,11666,5833,17499
34,12832,6416,19248
35,13796,6898,20694
36,14427,7213.5,21640.5
37,14674,7337,22011
38,14658,7329,21987
39,14483,7241.5,21724.5
40,14319,7159.5,21478.5
41,14227,7113.5,21340.5
42,14324,7162,21486
43,14452,7226,21678
44,14402,7201,21603
45,14294,7147,21441
46,14356,7178,21534
47,13882,6941,20823
48,12887,6443.5,19330.5
49,11787,5893.5,17680.5
50,10880,5440,16320
51,10285,5142.5,15427.5
52,9907,4953.5,14860.5
53,9697,4848.5,14545.5
54,9649,4824.5,14473.5
55,9625,4812.5,14437.5
56,9984,4992,14976
57,10827,5413.5,16240.5
58,11954,5977,17931
59,12853,6426.5,19279.5
60,13405,6702.5,20107.5
61,13779,6889.5,20668.5
62,13914,6957,20871
63,13852,6926,20778
64,13790,6895,20685
65,13776,6888,20664
66,13896,6948,20844
67,14073,7036.5,21109.5
68,14181,7090.5,21271.5
69,14225,7112.5,21337.5
70,14386,7193,21579
71,13782,6891,20673
72,12587,6293.5,18880.5
73,11383,5691.5,17074.5
74,10519,5259.5,15778.5
75,10007,5003.5,15010.5
76,9743,4871.5,14614.5
77,9705,4852.5,14557.5
78,9975,4987.5,14962.5
79,10811,5405.5,16216.5
80,12550,6275,18825
81,14043,7021.5,21064.5
82,14685,7342.5,22027.5
83,15095,7547.5,22642.5
84,15434,7717,23151
85,15558,7779,23337
86,15520,7760,23280
87,15467,7733.5,23200.5
88,15298,7649,22947
89,15203,7601.5,22804.5
90,15297,7648.5,22945.5
91,15445,7722.5,23167.5
92,15318,7659,22977
93,15153,7576.5,22729.5
94,15185,7592.5,22777.5
95,14413,7206.5,21619.5
96,12949,6474.5,19423.5
97,11578,5789,17367
98,10675,5337.5,16012.5
99,10207,5103.5,15310.5
100,9962,4981,14943
101,9895,4947.5,14842.5
102,10128,5064,15192
103,10913,5456.5,16369.5
104,12658,6329,18987
105,14124,7062,21186
106,14706,7353,22059
107,15024,7512,22536
108,15284,7642,22926
109,15426,7713,23139
110,15401,7700.5,23101.5
111,15395,7697.5,23092.5
112,15229,7614.5,22843.5
113,15129,7564.5,22693.5
114,15174,7587,22761
115,15212,7606,22818
116,15050,7525,22575
117,15005,7502.5,22507.5
118,15170,7585,22755
119,14586,7293,21879
120,13116,6558,19674
121,11737,5868.5,17605.5
122,10754,5377,16131
123,10226,5113,15339
124,9958,4979,14937
125,9865,4932.5,14797.5
126,10126,5063,15189
127,10852,5426,16278
128,12596,6298,18894
129,14059,7029.5,21088.5
130,14654,7327,21981
131,15005,7502.5,22507.5
132,15348,7674,23022
133,15520,7760,23280
134,15549,7774.5,23323.5
135,15595,7797.5,23392.5
136,15473,7736.5,23209.5
137,15376,7688,23064
138,15375,7687.5,23062.5
139,15328,7664,22992
140,15058,7529,22587
141,14943,7471.5,22414.5
142,15224,7612,22836
143,14687,7343.5,22030.5
144,13180,6590,19770
145,11752,5876,17628
146,10794,5397,16191
147,10260,5130,15390
148,9979,4989.5,14968.5
149,9895,4947.5,14842.5
150,10135,5067.5,15202.5
151,10887,5443.5,16330.5
152,12585,6292.5,18877.5
153,13979,6989.5,20968.5
154,14612,7306,21918
155,15150,7575,22725
156,15621,7810.5,23431.5
157,15949,7974.5,23923.5
158,15983,7991.5,23974.5
159,16079,8039.5,24118.5
160,15978,7989,23967
161,15900,7950,23850
162,15857,7928.5,23785.5
163,15723,7861.5,23584.5
164,15421,7710.5,23131.5
165,15245,7622.5,22867.5
166,15496,7748,23244
167,14978,7489,22467
168,13515,6757.5,20272.5
