Time_index,Load,Load_alternative_scenario_1,Load_alternative_scenario_2
1,12962,6481,19443
2,12214,6107,18321
3,11564,5782,17346
4,11069,5534.5,16603.5
5,10820,5410,16230
6,10784,5392,16176
7,10984,5492,16476
8,11389,5694.5,17083.5
9,11738,5869,17607
10,12362,6181,18543
11,12959,6479.5,19438.5
12,13334,6667,20001
13,13482,6741,20223
14,13554,6777,20331
15,13431,6715.5,20146.5
16,13307,6653.5,19960.5
17,13399,6699.5,20098.5
18,14719,7359.5,22078.5
19,15955,7977.5,23932.5
20,15848,7924,23772
21,15366,7683,23049
22,14798,7399,22197
23,13997,6998.5,20995.5
24,12990,6495,19485
