R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,Commit,HYDRO,Existing_Cap_MW,New_Build,Cap_size,Max_Cap_MW,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Var_OM_cost_per_MWh_in,Min_Cap_MW,Hydro_level,Max_reservoir_level,Spring_max_reservoir_level
1,1,OCGT_NE,1,0,0,0,0,0,0,1,0,0,1,200,-1,42818.96129,12017.62977,7.03,0,16000,0.18772,9.75,natural_gas,0.24,0,1,1,1,0,1,1,1,1,1,0,0.5,0.5,1,1,0,-1,-1,-1,-1
2,1,OCGT_existing_NE,1,0,0,0,0,0,0,1,0,746,0,200,-1,-1,12017.62977,7.03,0,16000,0.18772,11.176,natural_gas,0.24,0,1,1,1,0,1,1,1,1,1,0,0.5,0.5,1,1,0,-1,-1,-1,-1
3,1,CCGT_NE,1,0,0,0,0,0,0,1,0,0,1,500,-1,50473.90191,10386.87561,2.72,0,30000,0.58947,6.43,natural_gas,0.375,0,1,1,1,0,0.7,0.7,5,6,1,0,0.083,0.083,0.17,0.17,0,-1,-1,-1,-1
4,1,CCGT_existing_NE,1,0,0,0,0,0,0,1,0,9628,0,500,-1,-1,10386.87561,2.72,0,30000,0.58947,7.649,natural_gas,0.375,0,1,1,1,0,0.7,0.7,5,6,1,0,0.083,0.083,0.17,0.17,0,-1,-1,-1,-1
5,1,Nuclear_NE,1,0,0,0,0,0,0,1,0,0,0,1000,3500,112085,99197,2.27,0,1000000,0.58947,10.46,uranium,0.5,0,1,1,1,0,0.25,0.25,36,36,1,0,0.03,0.03,0.1,0.1,0,-1,-1,-1,-1
6,1,Nuclear_existing_NE,1,0,0,0,0,0,0,1,0,3500,0,1000,-1,-1,99197,2.27,0,1000000,0.58947,10.459,uranium,0.5,0,1,1,1,0,0.25,0.25,36,36,1,0,0.03,0.03,0.1,0.1,0,-1,-1,-1,-1
7,1,Wind_NE,0,1,0,0,0,0,0,0,0,0,1,1,-1,84912,38775,0,0,0,0,0,none,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1
8,1,Offshore_Wind_NE,0,1,0,0,0,0,0,0,0,0,1,1,-1,137648,142675,0,0,0,0,0,none,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1
9,1,Offshore_Wind_existing_NE,0,1,0,0,0,0,0,0,0,3600,-1,1,-1,137648,142675,0,0,0,0,0,none,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1
10,1,Solar_NE,0,1,0,0,0,0,0,0,0,0,1,1,-1,42878.02367,7280,0,0,0,0,0,none,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1
11,1,Run-of-river_hydro_NE,0,0,1,0,0,0,0,0,0,853,0,1,-1,-1,29311.59231,0,0,0,0,0,none,0.05,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1
