Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
15000,1,1,1,1,12962,26065.75837,15369
,,,,2,12214,25944.32617,14633
,,,,3,11564,25414.07774,13969
,,,,4,11069,25271.43026,13319
,,,,5,10820,25413.05118,12875
,,,,6,10784,25741.4009,12706
,,,,7,10984,26330.32172,12796
,,,,8,11389,27308.15841,13120
,,,,9,11738,27572.36923,13374
,,,,10,12362,28307.05927,13715
,,,,11,12959,28955.99559,14234
,,,,12,13334,28778.03931,14755
,,,,13,13482,28595.28724,15107
,,,,14,13554,28331.5944,15369
,,,,15,13431,27942.88276,15493
,,,,16,13307,28080.7206,15498
,,,,17,13399,28879.87715,15590
,,,,18,14719,29407.21912,16390
,,,,19,15955,29154.42334,17798
,,,,20,15848,28456.30275,17910
,,,,21,15366,28190.60991,17613
,,,,22,14798,27602.7234,17260
,,,,23,13997,26457.58846,16700
,,,,24,12990,25854.64108,15897
,,,,25,11898,25241.69041,14855
,,,,26,10975,24983.8166,13879
,,,,27,10423,24775.34068,13218
,,,,28,10152,24890.88522,12835
,,,,29,10097,25197.2427,12666
,,,,30,10322,25515.28971,12757
,,,,31,10884,26077.90007,13166
,,,,32,11715,26177.23099,13963
,,,,33,12395,26364.88011,14690
,,,,34,13250,27227.97579,15287
,,,,35,14129,28016.87335,16130
,,,,36,14756,28159.61436,16830
,,,,37,15024,27702.58285,17171
,,,,38,15006,27472.65758,17315
,,,,39,14898,27600.78873,17303
,,,,40,14853,28219.09803,17266
,,,,41,15085,30367.65016,17420
,,,,42,16512,31466.3435,18293
,,,,43,17925,31538.4885,20080
,,,,44,17786,30983.53667,20276
,,,,45,17347,30427.07296,19997
,,,,46,16650,29566.86659,19430
,,,,47,15550,28875.00499,18585
,,,,48,14188,27866.424,17276
,,,,49,12933,27790.89331,15887
,,,,50,12100,27588.36148,14964
,,,,51,11687,27731.7267,14398
,,,,52,11501,28085.7206,14088
,,,,53,11546,28853.42004,13962
,,,,54,11965,30244.72209,14220
,,,,55,13187,31841.31744,15078
,,,,56,15362,33047.97201,16963
,,,,57,16574,33715.31563,18658
,,,,58,16766,33963.63714,19174
,,,,59,16894,33386.44182,19583
,,,,60,17042,34169.74783,19848
,,,,61,17071,33651.21384,19970
,,,,62,17012,33337.65825,19965
,,,,63,16979,33759.18118,20004
,,,,64,16918,35027.51919,20012
,,,,65,17154,37310.85605,20214
,,,,66,18508,38156.78016,20969
,,,,67,19960,37550.67063,22647
,,,,68,19996,37446.47086,22629
,,,,69,19654,36705.67013,22361
,,,,70,19012,36100.54954,21826
,,,,71,17885,35406.13235,20866
,,,,72,16380,32712.97481,19547
,,,,73,15060,32838.95436,18079
,,,,74,14241,33111.46623,16986
,,,,75,13808,33493.91279,16402
,,,,76,13602,33089.29797,16047
,,,,77,13636,33653.77109,15859
,,,,78,14002,34809.76713,15993
,,,,79,15162,36552.71995,16746
,,,,80,17304,37745.03586,18650
,,,,81,18426,37981.26994,20184
,,,,82,18463,37599.48191,20415
,,,,83,18413,36997.3021,20771
,,,,84,18368,37072.19917,20954
,,,,85,18206,36985.91197,20844
,,,,86,17954,37133.07742,20649
,,,,87,17810,37101.63747,20574
,,,,88,17690,37039.72985,20431
,,,,89,17880,37359.56324,20499
,,,,90,19126,38220.49511,21349
,,,,91,20123,37664.5837,22602
,,,,92,19975,36898.53173,22619
,,,,93,19497,35639.04262,22130
,,,,94,18739,35018.05433,21464
,,,,95,17520,33394.50715,20397
,,,,96,15939,31624.04739,18889
,,,,97,14464,30883.69272,17242
,,,,98,13523,30354.97943,16030
,,,,99,13033,30383.07461,15332
,,,,100,12790,29564.35026,14939
,,,,101,12743,29527.92746,14748
,,,,102,13071,31022.58368,14880
,,,,103,14148,33062.17788,15622
,,,,104,16185,34206.8087,17373
,,,,105,17367,33955.14241,19036
,,,,106,17496,32605.53931,19542
,,,,107,17579,32038.17524,19746
,,,,108,17506,31646.85818,19806
,,,,109,17252,30938.26333,19714
,,,,110,17037,30764.65792,19559
,,,,111,16954,30894.3336,19516
,,,,112,16822,31987.44198,19398
,,,,113,16931,34268.83196,19429
,,,,114,18019,35702.45997,20106
,,,,115,19190,35550.44892,21574
,,,,116,19117,35429.95584,21509
,,,,117,18670,34848.39695,21067
,,,,118,17976,33979.5243,20424
,,,,119,16818,32813.89019,19400
,,,,120,15273,30936.33245,18047
,,,,121,13935,30119.21961,16567
,,,,122,13051,29892.98388,15431
,,,,123,12597,29905.50186,14735
,,,,124,12359,30138.73759,14364
,,,,125,12290,30688.70988,14183
,,,,126,12589,32042.27867,14305
,,,,127,13643,33708.5403,15064
,,,,128,15627,36521.31381,16843
,,,,129,16811,36557.73661,18294
,,,,130,16951,37117.57,18592
,,,,131,16963,36802.36083,18753
,,,,132,16895,37168.90867,18840
,,,,133,16653,36710.20477,18762
,,,,134,16383,36574.18597,18588
,,,,135,16232,35413.21203,18420
,,,,136,16002,36082.20312,18244
,,,,137,16080,36880.24734,18254
,,,,138,17024,37124.31926,18812
,,,,139,17922,36740.42665,20062
,,,,140,17627,35825.72556,19995
,,,,141,17119,34909.47053,19475
,,,,142,16445,34006.2404,18813
,,,,143,15559,33064.90124,18028
,,,,144,14364,30849.55383,16990
,,,,145,13127,29949.96342,15718
,,,,146,12186,29339.05201,14640
,,,,147,11670,29131.42004,13912
,,,,148,11391,28981.7366,13479
,,,,149,11278,29049.02215,13228
,,,,150,11389,29564.7526,13205
,,,,151,11820,30543.51456,13498
,,,,152,12597,31156.96112,14072
,,,,153,13396,32152.94776,14716
,,,,154,14243,32524.02298,15459
,,,,155,14763,32846.82816,16163
,,,,156,14900,33378.5243,16586
,,,,157,14778,32580.61734,16677
,,,,158,14505,32093.98207,16563
,,,,159,14202,31500.11272,16361
,,,,160,13987,31039.73644,16197
,,,,161,14134,31622.33905,16210
,,,,162,15179,32724.46458,16741
,,,,163,16220,32002.41262,18179
,,,,164,16035,31265.55878,18361
,,,,165,15518,30513.73924,18010
,,,,166,15016,29903.06801,17547
,,,,167,14314,28681.39793,16954
,,,,168,13401,27948.19932,16134
,,,,169,12388,26730.36708,15171
,,,,170,11546,26472.82089,14266
,,,,171,11055,26327.49328,13605
,,,,172,10770,26382.35603,13186
,,,,173,10689,26693.04112,12970
,,,,174,10767,27546.76712,12918
,,,,175,11084,28544.76151,13125
,,,,176,11695,29510.72769,13595
,,,,177,12316,30375.34135,14124
,,,,178,13207,31233.35125,14794
,,,,179,13900,31090.763,15598
,,,,180,14342,30903.0624,16138
,,,,181,14598,30585.67062,16349
,,,,182,14655,29992.73264,16494
,,,,183,14569,29925.50796,16563
,,,,184,14514,30009.38012,16560
,,,,185,14721,32616.9372,16640
,,,,186,15995,34162.47333,17351
,,,,187,17300,34059.94595,18994
,,,,188,17263,33586.11256,19274
,,,,189,16819,32907.95766,19021
