Time_index,Demand-z1,Demand-z2
1,12925.75373,6462.9
2,12093.22045,6046.6
3,11680.45185,5840.2
4,11494.55607,5747.3
5,11539.53085,5769.8
6,11958.29609,5979.1
7,13179.61141,6589.8
8,15353.39277,7676.7
9,16564.7137,8282.4
10,16756.60612,8378.3
11,16884.53441,8442.3
12,17032.45148,8516.2
13,17061.43523,8530.7
14,17002.46829,8501.2
15,16969.48678,8484.7
16,16908.52096,8454.3
17,17144.38873,8572.2
18,18497.63009,9248.8
19,19948.81655,9974.4
20,19984.79638,9992.4
21,19642.988,9821.5
22,19001.3477,9500.7
23,17874.97916,8937.5
24,16370.8224,8185.4
25,14001.15085,7000.6
26,13082.66576,6541.3
27,12545.96664,6273.0
28,12302.10335,6151.1
29,12231.14313,6115.6
30,12535.97224,6268.0
31,13602.37441,6801.2
32,15555.2796,7777.6
33,16705.6347,8352.8
34,16892.52992,8446.3
35,16906.52208,8453.3
36,16893.52936,8446.8
37,16827.56634,8413.8
38,16726.62293,8363.3
39,16723.62461,8361.8
40,16662.65879,8331.3
41,16808.57699,8404.3
42,17763.04191,8881.5
43,18637.55165,9318.8
44,18415.67604,9207.8
45,17853.99092,8927.0
46,17003.46773,8501.7
47,15770.15913,7885.1
48,14201.03879,7100.5
49,13475.44557,6737.7
50,12622.9235,6311.5
51,12156.18515,6078.1
52,11932.31066,5966.2
53,11897.33027,5948.7
54,12225.14649,6112.6
55,13345.5184,6672.8
56,15442.34291,7721.2
57,16585.70193,8292.9
58,16700.6375,8350.3
59,16675.65151,8337.8
60,16604.69129,8302.3
61,16401.80503,8200.9
62,16122.96135,8061.5
63,15886.09414,7943.0
64,15631.23701,7815.6
65,15535.2908,7767.6
66,16070.99048,8035.5
67,17570.15004,8785.1
68,17776.03462,8888.0
69,17358.26883,8679.1
70,16646.66776,8323.3
71,15510.30481,7755.2
72,14014.14357,7007.1
73,12320.09326,6160.0
74,11478.56503,5739.3
75,11052.80372,5526.4
76,10858.91241,5429.5
77,10868.90681,5434.5
78,11232.70286,5616.4
79,12404.0462,6202.0
80,14597.81636,7298.9
81,15730.18154,7865.1
82,15946.06052,7973.0
83,16099.97424,8050.0
84,16252.88851,8126.4
85,16274.87618,8137.4
86,16218.90756,8109.5
87,16198.91877,8099.5
88,16142.95014,8071.5
89,16290.86722,8145.4
90,17004.46717,8502.2
91,18058.87606,9029.4
92,18089.85869,9044.9
93,17696.07945,8848.0
94,17033.45092,8516.7
95,15938.065,7969.0
96,14485.87911,7242.9
97,13123.64279,6561.8
98,12260.12688,6130.1
99,11839.36277,5919.7
100,11637.47595,5818.7
101,11647.47034,5823.7
102,12036.25239,6018.1
103,13259.56659,6629.8
104,15394.3698,7697.2
105,16384.81455,8192.4
106,16393.80951,8196.9
107,16287.8689,8143.9
108,16201.91709,8101.0
109,16013.02298,8006.5
110,15748.17146,7874.1
111,15576.26783,7788.1
112,15337.40174,7668.7
113,15285.43087,7642.7
114,15741.17538,7870.6
115,17154.38313,8577.2
116,17692.08169,8846.0
117,17385.2537,8692.6
118,16802.58035,8401.3
119,15750.17034,7875.1
120,14318.97268,7159.5
121,13193.60357,6596.8
122,12504.98961,6252.5
123,12136.19636,6068.1
124,12004.27032,6002.1
125,12007.26864,6003.6
126,12174.17507,6087.1
127,12548.96496,6274.5
128,13139.63382,6569.8
129,13811.25731,6905.6
130,14753.72895,7376.9
131,15442.34291,7721.2
132,15780.15353,7890.1
133,15855.11151,7927.6
134,15797.144,7898.6
135,15613.2471,7806.6
136,15451.33787,7725.7
137,15544.28576,7772.1
138,16216.90868,8108.5
139,17733.05872,8866.5
140,18330.72366,9165.4
141,18019.89791,9009.9
142,17382.25538,8691.1
143,16339.83977,8169.9
144,15129.51828,7564.8
145,12418.03836,6209.0
146,11605.49387,5802.7
147,11150.74881,5575.4
148,10929.87263,5464.9
149,10923.87599,5461.9
150,11246.69502,5623.3
151,12232.14257,6116.1
152,13859.23041,6929.6
153,15091.53957,7545.8
154,15849.11487,7924.6
155,16240.89523,8120.4
156,16510.74396,8255.4
157,16585.70193,8292.9
158,16486.7574,8243.4
159,16432.78766,8216.4
160,16310.85601,8155.4
161,16232.89972,8116.4
162,16535.72995,8267.9
163,17227.34223,8613.7
164,17252.32822,8626.2
165,16698.63862,8349.3
166,15983.03979,7991.5
167,15055.55974,7527.8
168,13870.22425,6935.1
169,12572.95151,6286.5
170,11841.36165,5920.7
171,11620.48547,5810.2
172,11400.60873,5700.3
173,11200.72079,5600.4
174,11139.75497,5569.9
175,11307.66084,5653.8
176,11713.43336,5856.7
177,12166.17955,6083.1
178,12856.79239,6428.4
179,13496.4338,6748.2
180,13839.24162,6919.6
181,13921.19568,6960.6
182,13822.25114,6911.1
183,13543.40747,6771.7
184,13216.59068,6608.3
185,13012.70498,6506.4
186,13079.66744,6539.8
187,13451.45901,6725.7
188,14119.08474,7059.5
189,15278.4348,7639.2
190,15050.56254,7525.3
191,14133.07689,7066.5
192,12958.73524,6479.4
193,11831.36725,5915.7
194,10895.89168,5447.9
195,10345.2004,5172.6
196,10035.3741,5017.7
197,9930.432926,4965.2
198,10135.31807,5067.7
199,11044.8082,5522.4
200,12887.77502,6443.9
201,14060.11779,7030.1
202,14536.85053,7268.4
203,14843.67852,7421.8
204,15090.54013,7545.3
205,15156.50315,7578.3
206,15069.5519,7534.8
207,15075.54854,7537.8
208,14933.6281,7466.8
209,14757.72671,7378.9
210,14666.7777,7333.4
211,14496.87295,7248.4
212,14242.01582,7121.0
213,14852.67348,7426.3
214,14574.82924,7287.4
215,13704.31726,6852.2
216,12568.95375,6284.5
217,11809.37957,5904.7
218,10941.86591,5470.9
219,10471.12981,5235.6
220,10240.25924,5120.1
221,10195.28445,5097.6
222,10499.11412,5249.6
223,11547.52637,5773.8
224,13560.39794,6780.2
225,14749.73119,7374.9
226,15080.54573,7540.3
227,15312.41575,7656.2
228,15491.31545,7745.7
229,15530.2936,7765.1
230,15425.35243,7712.7
231,15340.40006,7670.2
232,15103.53285,7551.8
233,15008.58608,7504.3
234,15128.51884,7564.3
235,15416.35748,7708.2
236,15698.19947,7849.1
237,16221.90588,8111.0
238,15917.07677,7958.5
239,14885.65499,7442.8
240,13426.47302,6713.2
241,11561.51853,5780.8
242,10738.97965,5369.5
243,10313.21833,5156.6
244,10114.32983,5057.2
245,10116.32871,5058.2
246,10470.13037,5235.1
247,11610.49107,5805.2
248,13542.40803,6771.2
249,14667.77714,7333.9
250,14902.64547,7451.3
251,15012.58383,7506.3
252,15087.54181,7543.8
253,15037.56983,7518.8
254,14874.66116,7437.3
255,14776.71606,7388.4
256,14514.86286,7257.4
257,14307.97884,7154.0
258,14273.99789,7137.0
259,14362.94803,7181.5
260,14446.90096,7223.5
261,15152.50539,7576.3
262,15312.41575,7656.2
263,14505.8679,7252.9
264,13176.61309,6588.3
265,11502.55158,5751.3
266,10613.05025,5306.5
267,10073.3528,5036.7
268,9777.518651,4888.8
269,9668.579723,4834.3
270,9714.55395,4857.3
271,10012.38698,5006.2
272,10493.11748,5246.6
273,11372.62442,5686.3
274,12389.0546,6194.5
275,13024.69826,6512.3
276,13236.57948,6618.3
277,13358.51112,6679.3
278,13247.57331,6623.8
279,12769.84113,6384.9
280,12284.11344,6142.1
281,12022.26023,6011.1
282,11956.29721,5978.1
283,12084.22549,6042.1
284,12417.03892,6208.5
285,13373.50272,6686.8
286,13852.23434,6926.1
287,13111.64951,6555.8
288,11973.28769,5986.6
289,11202.71967,5601.4
290,10354.19536,5177.1
291,9868.467664,4934.2
292,9615.609419,4807.8
293,9573.632951,4786.8
294,9847.479431,4923.7
295,10729.98469,5365.0
296,12093.22045,6046.6
297,13363.50832,6681.8
298,13960.17382,6980.1
299,14335.96315,7168.0
300,14610.80907,7305.4
301,14737.73792,7368.9
302,14704.75641,7352.4
303,14712.75192,7356.4
304,14600.81468,7300.4
305,14468.88863,7234.4
306,14442.9032,7221.5
307,14388.93346,7194.5
308,14220.02815,7110.0
309,14503.86902,7251.9
310,14831.68525,7415.8
311,13936.18727,6968.1
312,12568.95375,6284.5
313,11248.6939,5624.3
314,10354.19536,5177.1
315,9867.468225,4933.7
316,9610.61222,4805.3
317,9539.652001,4769.8
318,9821.493998,4910.7
319,10750.97293,5375.5
320,12538.97056,6269.5
321,13981.16206,6990.6
322,14510.8651,7255.4
323,14813.69533,7406.8
324,15082.54461,7541.3
325,15169.49587,7584.7
326,15070.55134,7535.3
327,15088.54125,7544.3
328,14941.62362,7470.8
329,14861.66844,7430.8
330,15019.57991,7509.8
331,15268.4404,7634.2
332,15260.44488,7630.2
333,15347.39614,7673.7
334,15299.42303,7649.7
335,14261.00518,7130.5
336,12782.83385,6391.4
337,12230.14369,6115.1
338,11232.70286,5616.4
339,10632.0396,5316.0
340,10314.21777,5157.1
341,10200.28165,5100.1
342,10437.14886,5218.6
343,11091.78187,5545.9
344,12706.87643,6353.4
345,14328.96708,7164.5
346,15260.44488,7630.2
347,15844.11767,7922.1
348,16327.84649,8163.9
349,16660.65991,8330.3
350,16822.56914,8411.3
351,17031.45204,8515.7
352,17062.43467,8531.2
353,16987.4767,8493.7
