Resources,Zone,FuelPrice-Base,FuelPrice-1,FuelPrice-2,FuelPrice-3,FuelPrice-4,FuelPrice-5,FuelPrice-6,FuelPrice-7,FuelPrice-8,FuelPrice-9,FuelPrice-10
Gas-z1,1,30,24,25.33333333,26.66666667,28,29.33333333,30.66666667,32,33.33333333,34.66666667,36
Gas-z2,2,30,24,25.33333333,26.66666667,28,29.33333333,30.66666667,32,33.33333333,34.66666667,36
Gas turbine-z1,1,35,29,30.33333333,31.66666667,33,34.33333333,35.66666667,37,38.33333333,39.66666667,41
Gas turbine-z2,2,35,29,30.33333333,31.66666667,33,34.33333333,35.66666667,37,38.33333333,39.66666667,41
Wind-z1,1,0,0,0,0,0,0,0,0,0,0,0
Wind-z2,2,0,0,0,0,0,0,0,0,0,0,0
Solar-z1,1,0,0,0,0,0,0,0,0,0,0,0
Solar-z2,2,0,0,0,0,0,0,0,0,0,0,0
Nuclear-z1,1,2,2,2,2,2,2,2,2,2,2,2
Nuclear-z2,2,2,2,2,2,2,2,2,2,2,2,2
Coal-z1,1,15,15,15,15,15,15,15,15,15,15,15
Coal-z2,2,15,15,15,15,15,15,15,15,15,15,15
