Time_index,Demand-z1,Demand-z2
1,12699.72542,6349.9
2,11881.75037,5940.9
3,11476.19972,5738.1
4,11293.55463,5646.8
5,11337.74296,5668.9
6,11749.18539,5874.6
7,12949.14398,6474.6
8,15084.91315,7542.5
9,16275.05212,8137.5
10,16463.58898,8231.8
11,16589.28023,8294.6
12,16734.61073,8367.3
13,16763.08765,8381.5
14,16705.15184,8352.6
15,16672.74707,8336.4
16,16612.84733,8306.4
17,16844.59056,8422.3
18,18174.16825,9087.1
19,19599.97829,9800.0
20,19635.32896,9817.7
21,19299.49767,9649.7
22,18669.07752,9334.5
23,17562.4054,8781.2
24,16084.55133,8042.3
25,13756.31743,6878.2
26,12853.89358,6426.9
27,12326.57954,6163.3
28,12086.9806,6043.5
29,12017.26124,6008.6
30,12316.75991,6158.4
31,13364.51426,6682.3
32,15283.26965,7641.6
33,16413.50888,8206.8
34,16597.13593,8298.6
35,16610.88341,8305.4
36,16598.11789,8299.1
37,16533.30834,8266.7
38,16434.1301,8217.1
39,16431.18421,8215.6
40,16371.28448,8185.6
41,16514.65105,8257.3
42,17452.42556,8726.2
43,18311.64305,9155.8
44,18093.6473,9046.8
45,17541.78418,8770.9
46,16706.1338,8353.1
47,15494.39166,7747.2
48,13952.71,6976.4
49,13239.80498,6619.9
50,12402.19067,6201.1
51,11943.61403,5971.8
52,11723.65435,5861.8
53,11689.28565,5844.6
54,12011.36946,6005.7
55,13112.14981,6556.1
56,15172.30785,7586.2
57,16295.67334,8147.8
58,16408.59906,8204.3
59,16384.04999,8192.0
60,16314.33063,8157.2
61,16114.99217,8057.5
62,15841.02454,7920.5
63,15608.29935,7804.1
64,15357.89882,7678.9
65,15263.63039,7631.8
66,15789.96247,7895.0
67,17262.90673,8631.5
68,17465.19108,8732.6
69,17054.73061,8527.4
70,16355.57307,8177.8
71,15239.08132,7619.5
72,13769.08295,6884.5
73,12894.15406,6447.1
74,12045.73816,6022.9
75,11632.33181,5816.2
76,11433.97531,5717.0
77,11443.79494,5721.9
78,11825.77849,5912.9
79,13027.701,6513.9
80,15125.17363,7562.6
81,16098.29881,8049.1
82,16107.13647,8053.6
83,16003.04841,8001.5
84,15918.59961,7959.3
85,15733.00863,7866.5
86,15472.78848,7736.4
87,15303.89087,7651.9
88,15069.20175,7534.6
89,15018.13968,7509.1
90,15465.91474,7733.0
91,16854.41019,8427.2
92,17382.7062,8691.4
93,17081.24361,8540.6
94,16508.75927,8254.4
95,15474.7524,7737.4
96,14068.58161,7034.3
97,12200.88829,6100.4
98,11402.5525,5701.3
99,10955.75941,5477.9
100,10738.74562,5369.4
101,10732.85385,5366.4
102,11050.02784,5525.0
103,12018.2432,6009.1
104,13616.87871,6808.4
105,14827.63889,7413.8
106,15571.96672,7786.0
107,15956.89616,7978.4
108,16222.02612,8111.0
109,16295.67334,8147.8
110,16198.45902,8099.2
111,16145.43302,8072.7
112,16025.63356,8012.8
113,15949.04045,7974.5
114,16246.57519,8123.3
115,16926.09348,8463.0
116,16950.64255,8475.3
117,16406.63514,8203.3
118,15703.54974,7851.8
119,14792.28823,7396.1
120,13627.6803,6813.8
121,12855.85751,6427.9
122,12026.09891,6013.0
123,11617.60236,5808.8
124,11400.58858,5700.3
125,11394.6968,5697.3
126,11720.70846,5860.4
127,12738.02197,6369.0
128,14478.06012,7239.0
129,15605.35346,7802.7
130,16110.08236,8055.0
131,16423.32851,8211.7
132,16682.5667,8341.3
133,16767.0155,8383.5
134,16714.97147,8357.5
135,16632.48659,8316.2
136,16504.83142,8252.4
137,16460.64309,8230.3
138,16773.88924,8386.9
139,17570.2611,8785.1
140,18073.02608,9036.5
141,17712.64572,8856.3
142,17024.28976,8512.1
143,15920.56353,7960.3
144,14493.77152,7246.9
145,12937.36042,6468.7
146,12158.66389,6079.3
147,11745.25753,5872.6
148,11537.08141,5768.5
149,11532.1716,5766.1
150,11855.23737,5927.6
151,12994.31427,6497.2
152,14703.91157,7352.0
153,15602.40757,7801.2
154,15614.19113,7807.1
155,15518.94073,7759.5
156,15432.528,7716.3
157,15243.99113,7622.0
158,15014.21183,7507.1
159,14885.5747,7442.8
160,14611.60707,7305.8
161,14474.13227,7237.1
162,14685.25428,7342.6
163,15511.08503,7755.5
164,16595.172,8297.6
165,16340.84363,8170.4
166,15692.74815,7846.4
167,14619.46277,7309.7
168,13182.85113,6591.4
169,12353.09253,6176.5
170,11634.29573,5817.1
171,11417.28195,5708.6
172,11201.25012,5600.6
173,11004.85755,5502.4
174,10944.95782,5472.5
175,11109.92758,5555.0
176,11508.60449,5754.3
177,11953.43366,5976.7
178,12631.96998,6316.0
179,13260.4262,6630.2
180,13597.23945,6798.6
181,13677.7604,6838.9
