Time_index,Demand-base,Demand-1,Demand-2,Demand-3,Demand-4,Demand-5,Demand-6,Demand-7,Demand-8,Demand-9,Demand-10
1,12933,12933,12347.27482,12699.72542,12146.57012,12575.31325,12507.44199,12925.75373,12354.54989,12157.82196,12531.4142
2,12100,12100,11552.00072,11881.75037,11364.22318,11765.35145,11701.8517,12093.22045,11558.80721,11374.75031,11724.27989
3,11687,11687,11157.70516,11476.19972,10976.33689,11363.77376,11302.44139,11680.45185,11164.27933,10986.5047,11324.10405
4,11501,11501,10980.12895,11293.55463,10801.64718,11182.91794,11122.56169,11494.55607,10986.59849,10811.65317,11143.87959
5,11546,11546,11023.09093,11337.74296,10843.91082,11226.67338,11166.08097,11539.53085,11029.58579,10853.95596,11187.48228
6,11965,11965,11423.11476,11749.18539,11237.43226,11634.08514,11571.29385,11958.29609,11429.84531,11247.84194,11593.47181
7,13187,13187,12589.77136,12949.14398,12385.12489,12822.2884,12753.08416,13179.61141,12597.18931,12396.59771,12777.52718
8,15362,15362,14666.26736,15084.91315,14427.86748,14937.13463,14856.51618,15353.39277,14674.90879,14441.23258,14884.99071
9,16574,16574,15823.37685,16275.05212,15566.16818,16115.61446,16028.63555,16564.7137,15832.70006,15580.58774,16059.3566
10,16766,16766,16006.68133,16463.58898,15746.49305,16302.30434,16214.31782,16756.60612,16016.11254,15761.07964,16245.39476
11,16894,16894,16128.88431,16589.28023,15866.70962,16426.76425,16338.106,16884.53441,16138.38752,15881.40758,16369.4202
12,17042,17042,16270.18151,16734.61073,16005.71004,16570.67103,16481.23609,17032.45148,16279.76798,16020.53676,16512.82462
13,17071,17071,16297.86812,16763.08765,16032.94661,16598.86898,16509.28185,17061.43523,16307.4709,16047.79856,16540.92413
14,17012,17012,16241.54019,16705.15184,15977.53428,16541.50074,16452.22323,17002.46829,16251.10978,15992.3349,16483.75615
15,16979,16979,16210.03473,16672.74707,15946.54094,16509.41342,16420.30909,16969.48678,16219.58576,15961.31285,16451.78084
16,16918,16918,16151.79737,16612.84733,15889.25023,16450.10049,16361.31629,16908.52096,16161.31408,15903.96907,16392.67497
17,17154,17154,16377.10912,16844.59056,16110.89954,16679.57346,16589.55075,17144.38873,16386.75859,16125.8237,16621.34688
18,18508,18508,17669.78755,18174.16825,17382.56551,17996.12601,17898.99763,18497.63009,17680.19867,17398.66766,17933.30348
19,19960,19960,19056.02763,19599.97829,18746.27229,19407.96818,19303.21983,19948.81655,19067.25553,18763.6377,19340.21707
20,19996,19996,19090.39722,19635.32896,18780.0832,19442.97254,19338.03526,19984.79638,19101.64537,18797.47993,19375.09923
21,19654,19654,18763.88613,19299.49767,18458.87954,19110.4312,19007.28871,19642.988,18774.9419,18475.97872,19043.71875
22,19012,19012,18150.96179,18669.07752,17855.91828,18486.18693,18386.4136,19001.3477,18161.65642,17872.45891,18421.65366
23,17885,17885,17075.00272,17562.4054,16797.44889,17390.35626,17296.49733,17874.97916,17085.06339,16813.00903,17329.64841
24,16380,16380,15638.16296,16084.55133,15383.96494,15926.9799,15841.01908,16370.8224,15647.37704,15398.21571,15871.38054
25,12912,12912,13374.54364,13756.31743,13157.14071,13621.55442,13548.0364,14001.15085,13382.42399,13169.32868,13574.00305
26,12184,12184,12497.16442,12853.89358,12294.02326,12727.97112,12659.27593,13082.66576,12504.5278,12305.4117,12683.53915
27,11833,11833,11984.48471,12326.57954,11789.67716,12205.82288,12139.94582,12545.96664,11991.54603,11800.5984,12163.21367
28,11717,11717,11751.53528,12086.9806,11560.51431,11968.57116,11903.97459,12302.10335,11758.45934,11571.22327,11926.79018
29,11765,11765,11683.75081,12017.26124,11493.83168,11899.5348,11835.31084,12231.14313,11690.63493,11504.47887,11857.99482
30,12194,12194,11974.93761,12316.75991,11780.28524,12196.09945,12130.27487,12535.97224,11981.99329,11791.19778,12153.52418
31,13405,13405,12993.61403,13364.51426,12782.4031,13233.58953,13162.16543,13602.37441,13001.26993,12794.24394,13187.3925
32,15599,15599,14859.11894,15283.26965,14617.58427,15133.54794,15051.86941,15555.2796,14867.874,14631.12511,15080.71836
33,16868,16868,15957.99108,16413.50888,15698.59426,16252.71484,16164.99597,16705.6347,15967.3936,15713.13648,16195.97837
34,16991,16991,16136.522,16597.13593,15874.22316,16434.543,16345.84276,16892.52992,16146.02971,15888.92808,16377.17179
35,17009,17009,16149.88795,16610.88341,15887.37185,16448.1558,16359.3821,16906.52208,16159.40354,15902.08894,16390.73707
36,16996,16996,16137.47671,16598.11789,15875.16235,16435.51534,16346.80986,16893.52936,16146.98498,15889.86814,16378.14074
37,16841,16841,16074.4658,16533.30834,15813.17568,16371.3407,16282.98158,16827.56634,16083.93695,15827.82405,16314.19012
38,16560,16560,15978.04,16434.1301,15718.31729,16273.13404,16185.30496,16726.62293,15987.45434,15732.87778,16216.3263
39,16376,16376,15975.17587,16431.18421,15715.49971,16270.21702,16182.40368,16723.62461,15984.58852,15730.0576,16213.41945
40,16152,16152,15916.93851,16371.28448,15658.209,16210.90409,16123.41087,16662.65879,15926.31685,15672.71381,16154.31358
41,16215,16215,16056.32629,16514.65105,15795.33103,16352.86618,16264.60677,16808.57699,16065.78675,15809.96287,16295.7801
42,17323,17323,16968.07511,17452.42556,16692.25939,17281.45383,17188.18267,17763.04191,16978.07278,16707.72209,17221.12615
43,18781,18781,17803.44706,18311.64305,17514.05239,18132.25404,18034.39095,18637.55165,17813.93693,17530.27634,18068.95631
44,18735,18735,17591.50126,18093.6473,17305.55177,17916.39388,17819.69582,18415.67604,17601.86626,17321.58258,17853.84969
