Time_Index,Gas,Gas turbine,Wind,Solar,Nuclear,Coal
1,1,1,0.763308138,0,1,1
2,1,1,0.750113883,0,1,1
3,1,1,0.729198684,0,1,1
4,1,1,0.694957807,0,1,1
5,1,1,0.664635076,0,1,1
6,1,1,0.652681994,0,1,1
7,1,1,0.654510032,0,1,1
8,1,1,0.656831793,0.03366469,1,1
9,1,1,0.685611835,0.26913037,1,1
10,1,1,0.710704834,0.42327124,1,1
11,1,1,0.73184699,0.40594711,1,1
12,1,1,0.753444744,0.38545331,1,1
13,1,1,0.783215495,0.41555313,1,1
14,1,1,0.810086679,0.49704918,1,1
15,1,1,0.832747843,0.51048665,1,1
16,1,1,0.843621487,0.21527919,1,1
17,1,1,0.839757786,0.00886383,1,1
18,1,1,0.848142109,0,1,1
19,1,1,0.847643654,0,1,1
20,1,1,0.840592293,0,1,1
21,1,1,0.835683266,0,1,1
22,1,1,0.815284137,0,1,1
23,1,1,0.792055638,0,1,1
24,1,1,0.776937487,0,1,1
25,1,1,0.820802607,0,1,1
26,1,1,0.789883522,0,1,1
27,1,1,0.753749588,0,1,1
28,1,1,0.711332189,0,1,1
29,1,1,0.665505007,0,1,1
30,1,1,0.624366282,0,1,1
31,1,1,0.586426221,0,1,1
32,1,1,0.539233604,0.01233557,1,1
33,1,1,0.440360849,0.11182469,1,1
34,1,1,0.305368134,0.21100277,1,1
35,1,1,0.225098663,0.22824276,1,1
36,1,1,0.191535356,0.21948119,1,1
37,1,1,0.188362075,0.19238949,1,1
38,1,1,0.224959976,0.15723228,1,1
39,1,1,0.308364926,0.1178949,1,1
40,1,1,0.44832671,0.05991469,1,1
41,1,1,0.592127681,0.00524837,1,1
42,1,1,0.686716827,0,1,1
43,1,1,0.741557399,0,1,1
44,1,1,0.789217585,0,1,1
45,1,1,0.818236909,0,1,1
46,1,1,0.833868817,0,1,1
47,1,1,0.842538233,0,1,1
48,1,1,0.835800587,0,1,1
49,1,1,0.294170387,0,1,1
50,1,1,0.268092116,0,1,1
51,1,1,0.250329322,0,1,1
52,1,1,0.242206213,0,1,1
53,1,1,0.249128385,0,1,1
54,1,1,0.263513149,0,1,1
55,1,1,0.27580273,0,1,1
56,1,1,0.282352269,0.04573985,1,1
57,1,1,0.270865607,0.20759727,1,1
58,1,1,0.23452846,0.3187758,1,1
59,1,1,0.205963703,0.3771768,1,1
60,1,1,0.18877602,0.38877077,1,1
61,1,1,0.189577132,0.39754938,1,1
62,1,1,0.209718966,0.40248771,1,1
63,1,1,0.24429384,0.3698854,1,1
64,1,1,0.312626048,0.21439089,1,1
65,1,1,0.393469348,0.03715237,1,1
66,1,1,0.435034757,0,1,1
67,1,1,0.459820986,0,1,1
68,1,1,0.469260262,0,1,1
69,1,1,0.481865898,0,1,1
70,1,1,0.4973409,0,1,1
71,1,1,0.516113785,0,1,1
72,1,1,0.530040292,0,1,1
73,1,1,0.548185989,0,1,1
74,1,1,0.553980845,0,1,1
75,1,1,0.56085308,0,1,1
76,1,1,0.571208972,0,1,1
77,1,1,0.582358135,0,1,1
78,1,1,0.599278331,0,1,1
79,1,1,0.619172083,0.0013998,1,1
80,1,1,0.604193638,0.18353999,1,1
81,1,1,0.505218141,0.61234099,1,1
82,1,1,0.435045003,0.70105249,1,1
83,1,1,0.424091156,0.65058695,1,1
84,1,1,0.433468391,0.60158905,1,1
85,1,1,0.441658424,0.6160569,1,1
86,1,1,0.442641443,0.6894372,1,1
87,1,1,0.430162033,0.7566408,1,1
88,1,1,0.419955733,0.63184505,1,1
89,1,1,0.527769276,0.17775896,1,1
90,1,1,0.626826724,0.00168559,1,1
91,1,1,0.670701959,0,1,1
92,1,1,0.672792328,0,1,1
93,1,1,0.646216876,0,1,1
94,1,1,0.616341704,0,1,1
95,1,1,0.589069714,0,1,1
96,1,1,0.562243871,0,1,1
97,1,1,0.477893568,0,1,1
98,1,1,0.398526817,0,1,1
99,1,1,0.328679927,0,1,1
100,1,1,0.27414131,0,1,1
101,1,1,0.2216369,0,1,1
102,1,1,0.174635477,0,1,1
103,1,1,0.162045951,0.01275367,1,1
104,1,1,0.159266888,0.15647012,1,1
105,1,1,0.152743409,0.32938934,1,1
106,1,1,0.199143025,0.37676843,1,1
107,1,1,0.263020832,0.34960135,1,1
108,1,1,0.330158636,0.30780433,1,1
109,1,1,0.394288242,0.26342287,1,1
110,1,1,0.442152066,0.22172655,1,1
111,1,1,0.485385425,0.16873144,1,1
112,1,1,0.532810672,0.11600921,1,1
113,1,1,0.598968707,0.03125063,1,1
114,1,1,0.616661252,0.00096789,1,1
115,1,1,0.629152367,0,1,1
116,1,1,0.60165113,0,1,1
117,1,1,0.600116739,0,1,1
118,1,1,0.599173826,0,1,1
119,1,1,0.600123891,0,1,1
120,1,1,0.634696692,0,1,1
121,1,1,0.445734473,0,1,1
122,1,1,0.418693251,0,1,1
123,1,1,0.39135664,0,1,1
124,1,1,0.362774366,0,1,1
125,1,1,0.348163142,0,1,1
126,1,1,0.329421226,0,1,1
127,1,1,0.305440837,0.02851857,1,1
128,1,1,0.208274359,0.270295,1,1
129,1,1,0.137865979,0.40703114,1,1
130,1,1,0.116525128,0.47128258,1,1
131,1,1,0.115240432,0.48305706,1,1
132,1,1,0.128868663,0.48794897,1,1
133,1,1,0.153234424,0.47830796,1,1
