Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2,Battery-z1,Index,Investment_Cost,EV_SystemCost,CVaR_SystemCost,CVaR_OpCost,EV_OpCost,Expected_Power_Price,Cost_by_zone_baseZone1,Price_by_zone_baseZone1,Cost_by_zone_baseZone2,Price_by_zone_baseZone2,Expected_emissions,CO2_by_zone_baseZone1,CO2_by_zone_baseZone2
1.0e-5,1.0e-5,15353.651396009273,1.0e-5,1.0e-5,1.0e-5,32955.749845966464,1.0e-5,1.0e-5,14077.101071267221,1.0e-5,1.0e-5,1.0e-5,Sample 1,3.650575719235093e9,7.8985704150347e9,1.5333044713907259e10,1.9116943293544724e10,4.2479946957996073e9,158.84597222222226,2.0136433498959368e8,159.02319444444447,7.477209045136018e7,158.66875,1.7189461995537024e7,1.7189461927217737e7,0.06831930000000008
1.0e-5,1.0e-5,2781.3876902483803,10513.005579849892,1.0e-5,1.0e-5,3304.8424880848956,1.0e-5,6629.426590499278,13679.625642314573,1.0e-5,1.0e-5,1.0e-5,Sample 2,3.5182840768222237e9,6.574618168540542e9,1.135259998631599e10,1.2612297727269213e10,3.056334091718318e9,92.13097222222224,1.4112876608387792e8,164.6802777777778,4.982916243443742e7,19.581666666666674,1.0998106668919526e7,5.193057877043134e6,5.805048791876419e6
1.0e-5,1.0e-5,5645.370860671167,12244.373411548355,9907.340922387983,1.0e-5,16367.866892521375,1.0e-5,1.0e-5,12112.63041326864,1.0e-5,1.0e-5,900.0065849840754,Sample 3,3.32436938142286e9,6.053562829102203e9,9.465468668791193e9,9.553005127057323e9,2.729193447679343e9,60.60592614597777,9.877679615949824e7,100.11928271497588,6.5384327424787104e7,21.092569576979624,1.480541744236172e7,5.923587141551397e6,8.881830300810404e6
1.0e-5,1.0e-5,10703.269340386454,2100.815819210551,3435.7906490987625,1.0e-5,12391.79318771916,1.0e-5,1.0e-5,16578.486919437873,1.0e-5,1.0e-5,3059.7198684712516,Sample 4,3.524697550141698e9,5.16323413086069e9,7.505198729267295e9,6.322465777532202e9,1.638536580718992e9,44.30951488867884,7.0126685770053e7,45.72204716656166,4.1246807478018306e7,42.896982610796044,1.1697128186596945e7,9.590158717069209e6,2.106969469527757e6
1.0e-5,1.0e-5,5735.783619149136,9582.953152461025,20505.426686345807,1.0e-5,15769.44154152093,1.0e-5,1.0e-5,7109.422745735965,1.0e-5,6923.071816325984,1.0e-5,Sample 5,3.5799039812941713e9,4.864086161315043e9,6.165837255808483e9,3.887684369007752e9,1.2841821800208724e9,25.269236111111113,2.944963627903263e7,35.574305555555554,5.202274874527967e7,14.96416666666667,2.7789700568138298e7,2.9359883255482796e6,2.4853712242590003e7
1.0e-5,1.0e-5,7707.888095313582,12107.476058803213,23990.43650881487,1.0e-5,12649.793445779698,1.0e-5,2042.812490835446,7457.61933732813,1.0e-5,1.0e-5,1.0e-5,Sample 6,3.4348474480530066e9,4.520214116854475e9,5.319591645747461e9,2.684121726587441e9,1.085366668801468e9,17.929444444444453,3.1677484298593033e7,17.926388888888894,4.252799960632026e7,17.93250000000001,1.2055532627514046e7,5.527396280816879e6,6.5281363466971945e6
9802.49568056061,1.0e-5,1.0e-5,3045.472106226312,18831.59131571117,1.0e-5,1.0e-5,1.0e-5,1.0e-5,18954.81913833288,1.0e-5,2280.7672912556523,1.0e-5,Sample 7,4.315094158307153e9,4.938473194031444e9,5.40054248877144e9,1.547517625204283e9,6.233790357242908e8,9.506597222222224,2.300095770670355e7,14.715833333333338,1.9326584950377483e7,4.297361111111114,5.9637987815305125e6,4.291341470775107e6,1.6724573107553995e6
4068.172247268997,1.0e-5,1.0e-5,12268.358793800906,32869.328193899695,1.0e-5,16183.37369084401,1.0e-5,1163.6183080214216,10188.379722137868,1.0e-5,1978.498113117948,1.0e-5,Sample 8,4.335365642612427e9,4.802921420329359e9,5.28013837433302e9,1.421989685724254e9,4.675557777169322e8,9.536388888888895,1.3270136897946136e7,12.17097222222222,1.6127281319267258e7,6.901805555555558,6.641846807768351e6,2.0961032318213882e6,4.545743575946958e6
9703.86392953778,1.0e-5,1.0e-5,1.0e-5,23621.396439544096,1.0e-5,1.0e-5,1.0e-5,9483.050181522238,4501.525256584722,1.0e-5,4962.6475354069225,6142.516011724262,Sample 9,4.2275713560409503e9,4.959126109904556e9,5.864963457460799e9,2.543229448976092e9,7.315547538636055e8,17.65469119596724,2.5668441783008106e7,17.654691195967242,2.088774067212485e7,17.654691195967242,1.3429825587349445e7,2.98645989090156e6,1.0443365696447892e7
1.0e-5,1.0e-5,15142.778228051719,479.8346418643158,12450.636027958695,1.0e-5,22332.15466026491,1.0e-5,1.0e-5,18192.10663223139,1.0e-5,1.0e-5,1.0e-5,Sample 10,4.438595723966581e9,4.9119984819869375e9,5.259857189617536e9,1.1691201732815516e9,4.734027580203564e8,7.742569444444442,1.7475409291304495e7,8.614861111111114,1.6168121138781924e7,6.87027777777778,3.5995425130935693e6,3.4323204028904703e6,167222.11020309254
